Lat,Lon,Chi
53.508832994,0.908810273,-1822199.0
53.61549022,0.982291144,-1835443.6
53.586243615,0.827796097,-1826357.4
53.702704025,0.837720132,-1837321.0
53.708305094,1.000396146,-1844742.8
53.577495945,0.735799561,-1817070.6
53.669914639,0.791750775,-1832714.4
53.602029173,1.069081643,-1838439.5
53.5818266,0.667442575,-1807064.9
53.745148949,1.08359107,-1852126.6
53.687491169,0.89117322,-1837816.2
53.782452591,1.07794475,-1855204.0
53.778635235,0.914961642,-1846970.9
53.657371406,0.93247435,-1836822.4
53.771580738,0.710821943,-1832296.1
53.539320359,0.98808618,-1828816.2
53.619548055,0.87643673,-1831105.0
53.571616381,1.074303884,-1835934.8
53.549706173,0.705456446,-1809624.8
53.565234737,0.976395373,-1830598.8
53.552539467,0.863566011,-1824544.4
53.53127976,0.662194405,-1801152.2
53.574421287,0.814301858,-1824804.5
53.587021089,0.798945147,-1825412.9
53.561188022,0.76594587,-1820028.4
53.58284133,0.964856132,-1831634.6
53.748986201,0.714874837,-1830760.6
53.78440395,0.839627711,-1844648.0
53.623937694,0.728764607,-1820692.5
53.778535657,1.026894376,-1852400.6
53.721531374,0.796472675,-1837454.2
53.548477004,0.689677874,-1807089.5
53.781202258,0.945352869,-1848680.6
53.771617664,0.808877571,-1842279.8
53.576837155,0.820106214,-1825229.0
53.572779976,0.784348992,-1823600.5
53.691436848,0.809688779,-1835306.6
53.749589208,0.68049867,-1825594.0
53.761908971,0.71092455,-1831391.0
53.581450544,0.754195319,-1820281.8
53.749612414,0.905859725,-1843994.9
53.595664425,0.82578276,-1827144.9
53.677688376,0.791165226,-1833401.4
53.734713343,1.024879885,-1848327.9
53.495413327,1.026952295,-1826722.5
53.782534032,0.972042045,-1850098.1
53.798954296,0.887057663,-1847829.9
53.636985852,0.736536317,-1823198.6
53.633626023,0.895201762,-1833048.8
53.519386647,1.045891086,-1829816.5
53.61054369,0.776935641,-1826697.9
53.652640595,0.940196156,-1836768.4
53.542600866,0.825735619,-1822307.0
53.548545328,0.884396936,-1824914.1
53.817908598,0.702962714,-1835514.9
53.806892049,0.892592253,-1848748.1
53.522872205,1.068994451,-1831255.2
53.665256706,0.666036564,-1815285.2
53.609691081,0.968518571,-1834249.2
53.790031346,0.998328601,-1852055.4
53.520049322,0.789895811,-1818990.0
53.619468458,0.74243583,-1822328.1
53.810349711,1.040498326,-1855851.6
53.53122008,0.721985118,-1810281.9
53.821386956,0.968011584,-1853414.0
53.65583386,0.787191284,-1831269.6
53.64400895,0.962803647,-1837083.9
53.613133151,0.996540772,-1835922.4
53.615186857,1.038395496,-1838142.9
53.582542079,1.051919984,-1835838.6
53.669744875,1.06255027,-1844265.4
53.745300778,1.073123765,-1851632.1
53.528406257,0.711266365,-1808359.5
53.643745425,0.995154575,-1838631.8
53.821591402,0.856433244,-1848543.4
53.674572932,0.660230931,-1815338.9
