Lat,Lon,Chi
54.539290703,1.124486586,-1914933.2
54.619369571,1.062293975,-1925639.5
54.569139702,1.10858209,-1918303.0
54.537094613,0.990033673,-1915962.0
54.518361809,0.834501924,-1907656.0
54.621759404,0.953563687,-1921535.0
54.614031059,0.99741724,-1922920.2
54.508965244,0.947837153,-1911572.5
54.608832941,1.023268007,-1923682.1
54.655282826,0.986366256,-1925949.2
54.65045919,1.055548703,-1928310.8
54.584182699,1.077167997,-1921998.6
54.582312838,0.969519569,-1918890.5
54.569192012,1.116379568,-1917640.5
54.546617287,0.882285634,-1912058.6
54.538593744,0.992588226,-1916210.9
54.568457752,0.949336338,-1916756.2
54.629461556,1.061358766,-1926399.1
54.589495799,1.050725836,-1923303.1
54.629526042,0.984041146,-1923627.1
54.515291474,0.817726702,-1906700.5
54.555380458,1.008221263,-1918383.8
54.558563942,0.880886587,-1913030.2
54.622773317,1.123005737,-1920685.6
54.526230918,1.091977886,-1916828.5
54.619103118,0.966352726,-1921904.6
54.587702237,0.943710587,-1918147.6
54.590355339,1.088147805,-1921476.6
54.583154244,1.106049594,-1919463.8
54.543464704,1.025912856,-1918187.1
54.583444283,1.044805621,-1922506.2
54.536854004,1.10063897,-1916805.2
54.562823002,1.099700192,-1918635.5
54.533390319,1.128236974,-1914215.8
54.629331798,0.962493322,-1922603.8
54.516816921,0.970319439,-1913298.4
54.610035393,0.959731976,-1920815.1
54.607156085,1.048131386,-1924699.9
54.513519502,0.876337548,-1908962.5
54.524032021,0.960296105,-1913449.8
54.628545504,1.110053743,-1922180.5
54.627243869,0.954655391,-1922057.9
54.623013412,1.009451053,-1924255.1
54.651814335,1.020172754,-1927231.8
54.571135935,1.057674923,-1922050.0
54.634731959,1.085311862,-1924709.9
54.572051365,0.940581254,-1916656.2
54.517757257,0.98805839,-1914207.5
54.554161217,0.935634083,-1914906.4
54.661762156,1.008006325,-1927518.5
54.526016562,0.84101669,-1908584.0
54.53090059,0.989386859,-1915400.5
54.659211772,0.998785987,-1926867.9
54.634962127,1.016556305,-1925614.2
54.545113868,0.887668682,-1912150.4
54.549833799,0.970955292,-1916166.2
54.550322453,1.124427722,-1915682.1
54.517457775,1.054109148,-1917268.5
54.570285356,1.045248713,-1921395.1
54.614493659,1.123032339,-1920125.2
54.620484925,1.036110044,-1925283.6
54.569282951,1.091283689,-1919789.5
54.527902926,0.992291922,-1915277.6
54.642982359,1.082320978,-1925521.6
54.57133727,1.051462275,-1921776.5
54.520167296,0.884396937,-1909867.6
54.581596397,0.891327713,-1915444.1
54.533579753,0.866831388,-1910299.2
54.639249932,0.972668632,-1923931.8
54.562891289,0.920079716,-1915017.9
54.598129654,1.124523287,-1918895.8
54.591337009,1.094617878,-1920990.6
54.57737026,1.085574487,-1920821.6
54.569871787,0.97171399,-1917923.4
54.5979132,1.008524798,-1922054.6
54.570179191,1.048183329,-1921523.8
54.556701426,0.950363639,-1915793.4
54.559605507,1.047204484,-1920569.2
54.590089682,0.98666756,-1920359.8
54.51484397,0.871520488,-1908878.5
54.536414729,0.944432459,-1913772.8
54.609494043,1.027679795,-1923945.0
54.647456883,1.005554517,-1926174.2
54.62567608,1.076273176,-1924871.0
54.601352787,1.032803127,-1923484.0
54.601019288,1.066445063,-1924049.0
54.517223973,0.930765447,-1911524.1
54.508738386,1.008837001,-1914403.6
54.548272924,1.099913205,-1917636.6
54.525229875,1.101892877,-1915914.6
54.592306508,0.93818192,-1918297.1
54.532715342,1.061166812,-1918910.1
54.512285053,1.099382565,-1915256.5
54.541165899,1.066105916,-1919867.2
54.621022695,1.125961517,-1920315.2
54.518828882,1.085851351,-1916853.6
54.560364133,1.026827801,-1919682.0
54.60915553,1.052470717,-1925074.6
54.621273151,1.064395258,-1925588.8
54.590871465,1.065278155,-1923464.5
54.54599431,1.106642402,-1916908.6
54.624601944,0.965267806,-1922327.0
54.565487371,1.001416898,-1918934.5
54.578075932,1.004024872,-1920139.0
54.631513899,1.093707217,-1923776.1
54.57838449,1.045337484,-1922096.0
54.629890132,0.978005873,-1923376.8
54.598904794,1.040041356,-1923612.6
54.584221719,1.120442871,-1918306.5
54.516564345,0.912472411,-1910713.5
54.53133313,0.911026817,-1911925.9
54.552732493,1.100819238,-1917860.0
54.545546528,1.088664928,-1918413.8
54.583078309,1.039771045,-1922239.0
54.610297685,1.108038645,-1921122.8
54.582364696,1.09892154,-1920018.9
54.531894078,0.847346839,-1909351.5
54.509775275,1.043061175,-1916092.6
54.608712594,0.967428906,-1921061.8
54.571433385,1.110032786,-1918333.4
54.565735959,0.873969469,-1913362.8
54.509598528,0.830752952,-1906746.6
54.593077277,1.074499773,-1922826.0
54.548728951,1.063837954,-1920411.6
54.526438574,1.038234828,-1917299.0
54.53228439,1.025822736,-1917221.6
54.545937078,1.118463642,-1915895.5
54.590167353,1.121372658,-1918628.5
54.655314721,1.027542324,-1927877.5
54.594969488,0.941576547,-1918672.6
54.521121186,0.822396994,-1907395.0
54.568479744,1.009940289,-1919590.5
54.637795361,0.961625129,-1923290.4
54.607511405,1.002777447,-1922610.8
54.585217387,1.005655826,-1920829.2
54.603532049,0.954400994,-1920008.0
54.563824269,1.128547351,-1916240.1
54.511854246,0.970426474,-1912877.0
54.58796742,0.901424153,-1916408.8
54.619008051,1.041523225,-1925409.4
54.53315147,1.016147652,-1916843.9
54.548210606,0.921359057,-1913805.2
54.562285866,1.084066516,-1919934.1
54.619049499,0.992037638,-1923100.0
54.54472604,1.106569473,-1916829.0
54.565917778,1.130441222,-1916219.5
54.616591767,0.953312383,-1921079.9
54.525995978,1.025817312,-1916680.6
54.535298084,1.028754058,-1917617.2
54.53391699,0.830084066,-1908813.9
54.564104759,0.987275066,-1918155.2
54.62785844,1.12818844,-1920586.0
54.603438435,1.010286489,-1922611.6
54.637895196,1.006129148,-1925379.0
54.596388063,1.01406403,-1922181.9
54.528214288,0.96751429,-1914146.4
54.606259496,0.997171979,-1922241.1
54.604382367,1.080119843,-1923107.9
54.594768193,1.080261865,-1922447.8
54.511348356,1.064801725,-1917243.0
54.604525442,1.002622055,-1922347.0
54.616521821,0.956792568,-1921236.6
54.61242649,1.093782369,-1922483.5
54.613893552,0.942177063,-1920327.2
54.540885904,0.998640607,-1916690.6
54.586708686,1.089066271,-1921152.8
54.651408324,1.053884968,-1928516.0
54.515776543,0.955277092,-1912506.4
54.627405929,0.965369113,-1922572.2
54.629118632,1.026719261,-1925587.5
54.62740114,1.062383087,-1926173.4
54.548890345,1.055011648,-1920012.4
54.593392568,1.085678045,-1921893.0
54.590323793,1.007752432,-1921365.5
54.55620268,1.103312446,-1917880.9
54.614363799,1.051727915,-1925487.5
54.571693378,1.106578302,-1918645.8
54.547582933,1.079700849,-1919315.6
54.577290468,0.955772574,-1917815.6
54.511640279,1.128357573,-1912739.5
54.609682987,1.073445338,-1924034.6
54.552668626,1.043324626,-1919791.9
54.62480906,1.003603317,-1924136.2
54.567289462,1.078051499,-1920785.0
54.630962257,1.130407608,-1920605.8
54.606056364,1.129985257,-1918963.4
54.585806811,1.046081533,-1922769.1
54.569722947,1.087934574,-1920105.1
54.565861347,1.089351423,-1919724.2
54.626939825,1.004850017,-1924377.8
54.571447556,1.104299772,-1918824.2
54.530643405,1.100271954,-1916417.8
54.545286047,0.964753754,-1915485.0
54.627171191,0.961083702,-1922352.1
54.531714959,1.096303561,-1916829.5
54.630566288,1.109508502,-1922363.2
54.553495033,0.873167565,-1912275.4
54.60618569,0.961141347,-1920551.1
54.509913649,0.924441642,-1910633.9
54.517148115,0.870570581,-1909038.0
54.509315774,0.889562263,-1909145.2
54.647946014,0.97482921,-1924780.1
54.624729712,1.008945206,-1924378.9
54.655433257,1.022199398,-1927637.4
54.570036973,0.878044254,-1913901.4
54.643303386,1.010280475,-1926037.5
54.567694194,1.130368022,-1916345.2
54.639729488,0.963284459,-1923534.0
54.530678668,0.954600283,-1913754.9
54.651744626,1.050757555,-1928654.9
54.527578607,1.130895724,-1913597.9
54.546649069,1.08922905,-1918439.5
54.607575687,0.922692053,-1918974.0
54.571376474,1.090767228,-1919975.0
54.550543197,0.925499408,-1914177.2
54.629754076,1.066518871,-1925978.5
54.579038504,0.964039513,-1918353.1
54.664376603,1.000800551,-1927406.6
54.637307984,1.012671121,-1925634.0
54.559598014,0.948597252,-1915959.9
54.639264473,1.039118275,-1927038.5
54.604477106,1.093587989,-1921964.2
54.631518942,1.083060653,-1924685.2
54.638304401,1.059477207,-1927156.2
54.569910989,0.944192868,-1916640.9
54.601251834,1.024788103,-1923102.2
54.539183103,0.961586673,-1914812.1
54.580286457,1.08358746,-1921188.2
54.574952303,0.95127867,-1917406.0
54.595277108,0.933125768,-1918344.5
54.557977829,0.940321028,-1915433.9
54.519763077,1.088918354,-1916654.6
54.58892372,0.980062086,-1919951.1
54.510585669,0.87055455,-1908471.6
54.55560333,0.938965564,-1915167.6
54.537007045,1.056505833,-1919061.4
54.543482993,0.978650623,-1915979.6
54.606980093,0.923942423,-1918974.2
54.571966223,1.095197348,-1919636.0
54.572276724,1.060602893,-1922284.5
54.594713328,1.050287312,-1923731.1
54.519095997,1.082526622,-1917155.2
54.628563488,1.016442869,-1925059.0
54.508702789,1.041589316,-1915931.2
54.629795195,1.099484519,-1923167.4
54.533241981,0.958689914,-1914166.6
54.540383858,0.898687909,-1912197.8
54.589490186,0.948343781,-1918517.5
54.574965816,1.117609739,-1917924.8
54.627861511,0.998251122,-1924148.9
54.540703893,0.903688482,-1912431.1
54.541103251,0.920165736,-1913144.5
54.566596539,1.101863949,-1918704.9
54.624165047,1.051354964,-1926312.2
54.64242584,0.967075045,-1923943.4
54.515034223,0.959409344,-1912635.0
54.524739759,1.094523423,-1916511.1
54.512799712,0.850237124,-1907825.2
54.59293134,0.9785765,-1920226.5
54.546211276,0.935288676,-1914207.0
54.508868902,0.90661224,-1909808.9
54.592532945,1.02895533,-1922546.4
54.556971738,1.097413182,-1918436.5
54.621939088,1.046922238,-1925913.8
54.618518245,1.116232631,-1920977.5
54.572319723,0.970244507,-1918064.8
54.638973595,1.094629679,-1924199.6
54.547387996,0.944683139,-1914728.0
54.558687712,0.905574711,-1914058.1
54.552984711,1.091615037,-1918662.4
54.558030471,0.886125742,-1913199.8
54.539160454,0.865130712,-1910709.9
54.588235298,1.036486649,-1922529.2
54.628671371,1.076404772,-1925061.4
54.512532195,1.027090337,-1915583.0
54.607345284,1.039048107,-1924291.4
54.612208284,1.066379275,-1924808.2
54.545177959,1.125100688,-1915277.6
54.653637969,1.041844284,-1928400.6
54.537924812,0.886694452,-1911491.6
54.55271235,1.036835927,-1919491.9
54.655360326,0.983552966,-1925825.2
54.514176635,1.016068866,-1915209.1
54.523252392,1.030623152,-1916669.8
54.615838609,1.029319043,-1924566.5
54.554888966,0.86296489,-1911975.1
54.525616527,0.847294328,-1908808.9
54.550919644,0.979503321,-1916658.8
54.584157162,1.060091448,-1923281.5
54.565311488,0.999156397,-1918814.5
54.602101862,1.057018277,-1924680.8
54.53695973,1.116865947,-1915427.2
54.509950011,1.081791155,-1916601.4
54.526565038,0.902760658,-1911174.5
54.628550755,0.977722151,-1923248.1
54.543107431,1.100769083,-1917215.9
54.558349355,1.093793987,-1918838.0
54.529766656,1.016377945,-1916564.2
54.562157713,0.93003658,-1915364.5
54.637472088,1.008971019,-1925475.1
54.646849869,1.025529636,-1927055.2
54.593388418,0.944376898,-1918667.5
54.637367873,1.056269372,-1927366.6
54.518301277,1.086683468,-1916746.5
54.548185127,1.034431232,-1918990.5
54.608480446,1.070089458,-1924240.2
54.529563277,0.84045839,-1908866.9
