Lat,Lon,Chi
54.322570842,0.802891981,-1889489.4
54.44709639,0.718106141,-1894128.8
54.393740598,0.79211146,-1895066.8
54.363238892,0.749082018,-1889263.6
54.346107771,0.623914776,-1873809.0
54.386926543,0.642657891,-1880544.1
54.296197501,0.765772482,-1884773.9
54.289941839,0.690358599,-1878557.0
54.421494029,0.748864201,-1894225.5
54.313672882,0.784523834,-1887660.1
54.423340467,0.684959006,-1889635.9
54.439652968,0.70344808,-1892403.5
54.411236643,0.714353449,-1890785.5
54.298356622,0.62397612,-1869269.5
54.459559561,0.750397699,-1897592.0
54.296643364,0.73552821,-1882565.9
54.314320035,0.656736903,-1875769.6
54.40813333,0.79026562,-1896159.1
54.435979826,0.787818512,-1898356.6
54.368845067,0.763487014,-1890812.5
54.34722326,0.631770799,-1875108.4
54.347901591,0.747564479,-1887840.1
54.376167657,0.773858487,-1892208.6
54.30766235,0.75306938,-1884810.4
54.360382988,0.740699343,-1888396.4
54.353261615,0.79547597,-1891827.4
54.42537727,0.700857918,-1890991.0
54.285342758,0.698968487,-1878884.9
54.363836784,0.704956572,-1886037.0
54.326370423,0.731500772,-1884807.5
54.355451647,0.677500401,-1882842.0
54.33180253,0.714930991,-1884040.4
54.298395857,0.676582274,-1877268.8
54.391928666,0.770127106,-1893278.6
54.384187232,0.648086361,-1881108.1
54.28822107,0.790554198,-1885933.5
54.322953546,0.744343639,-1885469.1
54.310647178,0.806908376,-1888627.5
54.36170636,0.645439168,-1878565.8
54.407750494,0.77887664,-1895280.4
54.312676477,0.704110419,-1881601.8
54.304195858,0.64519565,-1873050.9
54.328053721,0.606824296,-1869491.6
54.430463983,0.796152006,-1898505.0
54.316163239,0.771390195,-1886897.6
54.332412751,0.720118066,-1884478.2
54.378199482,0.785131887,-1893219.6
54.387853327,0.707544017,-1888281.5
54.414736862,0.747086771,-1893516.4
54.343768977,0.688187739,-1883076.5
54.381170432,0.773015071,-1892573.6
54.312976064,0.787466552,-1887819.6
54.413381474,0.733889917,-1892419.5
54.311286584,0.775165395,-1886761.2
54.313057696,0.792915528,-1888231.1
54.398078298,0.776977146,-1894313.1
54.474751104,0.76590728,-1900042.4
54.296809382,0.690892698,-1879264.5
54.367878258,0.762186888,-1890633.6
54.415723006,0.759753329,-1894540.9
54.296108566,0.742954747,-1883071.6
54.311974479,0.720779267,-1882780.5
54.406107608,0.797403171,-1896458.4
54.430071628,0.803716252,-1898782.5
54.431834447,0.748725399,-1895098.9
54.397845282,0.697094423,-1888359.2
54.30745475,0.613955269,-1868613.5
54.313986218,0.762182226,-1886027.5
54.35741617,0.799990155,-1892371.9
54.332852972,0.766465732,-1887958.2
54.384016729,0.730638401,-1889669.1
54.356853062,0.775649183,-1890691.2
54.370285291,0.787117718,-1892691.0
54.343132665,0.723047869,-1885611.0
54.402841418,0.659443106,-1884611.6
54.41577211,0.697960115,-1889955.1
54.315932549,0.755456519,-1885694.5
54.460066229,0.731206276,-1896210.1
54.385906685,0.772108118,-1892910.9
54.371376216,0.721797418,-1887931.8
54.39495211,0.74836505,-1891919.8
54.294008786,0.671319753,-1876051.1
54.292404607,0.686695304,-1878234.9
54.45241052,0.742078191,-1896363.4
54.464881904,0.783437118,-1900500.8
54.392093455,0.717181547,-1889359.6
54.408440179,0.691290148,-1888833.1
54.385113222,0.805140611,-1894968.9
54.356475087,0.65818814,-1880004.5
54.307680927,0.723422336,-1882610.0
54.385157795,0.793532249,-1894438.8
54.315091417,0.733733233,-1884008.8
54.34726843,0.804527125,-1891684.1
54.357748309,0.638389971,-1877117.6
54.386463078,0.807014228,-1895162.2
54.294785916,0.66678227,-1875435.5
54.350024773,0.676722588,-1882207.1
54.298281602,0.71559773,-1881225.4
54.425726583,0.779534628,-1896865.6
54.429283401,0.731169189,-1893576.8
54.460898763,0.739569258,-1896901.9
54.350996264,0.698470336,-1884458.4
54.298378585,0.719943442,-1881556.8
54.285872236,0.74520906,-1882364.4
54.375993031,0.731599154,-1889055.1
54.432039868,0.700660973,-1891546.4
54.4498177,0.730133263,-1895254.4
54.320655044,0.749052604,-1885622.1
54.399226949,0.677333945,-1886986.5
54.389411568,0.736397938,-1890557.5
54.283727073,0.667552599,-1874499.8
54.367466379,0.7740325,-1891477.9
54.329328313,0.727073342,-1884730.0
54.304557195,0.63332324,-1871281.0
54.318807971,0.647112156,-1874734.2
54.434297457,0.700224439,-1891706.1
54.373228472,0.685440025,-1885389.9
54.325362628,0.687825448,-1881476.6
54.358141166,0.610556546,-1872924.2
54.381241984,0.637763153,-1879259.6
54.351400824,0.734538536,-1887172.2
54.332586769,0.729341402,-1885177.6
54.367499169,0.641459486,-1878512.9
54.40900318,0.77756059,-1895289.8
54.360092665,0.658772079,-1880437.5
54.406652847,0.680309091,-1887864.9
54.424279888,0.733308488,-1893308.1
54.300009018,0.794766513,-1887212.2
54.353169641,0.75319209,-1888707.8
54.323668569,0.745862393,-1885643.2
54.305423958,0.755545408,-1884802.9
54.301218522,0.761168027,-1884861.9
54.283608477,0.791026113,-1885574.2
54.346573732,0.771979233,-1889540.0
54.431545745,0.710255558,-1892216.5
54.393031877,0.759458087,-1892580.0
54.341661906,0.694206821,-1883343.8
54.350507417,0.783627285,-1890741.6
54.379868359,0.757033079,-1891274.5
54.43377597,0.762865025,-1896314.9
54.33914186,0.649910762,-1877096.0
54.314033291,0.707348894,-1881958.2
54.337819531,0.7954485,-1890496.4
54.327030936,0.797926588,-1889669.1
54.289297188,0.725226763,-1881173.1
54.312359633,0.695455067,-1880932.1
54.330462809,0.767922875,-1887862.1
54.309079725,0.696479565,-1880728.5
54.398774422,0.760164952,-1893123.5
54.350770678,0.781052923,-1890572.4
54.346642363,0.740032861,-1887173.2
54.289223893,0.706125212,-1879747.9
54.349566578,0.747103721,-1887948.5
54.411288952,0.725780246,-1891638.6
54.373121997,0.735887138,-1889128.1
54.297798686,0.613199795,-1867579.2
54.464833495,0.776620069,-1899990.1
54.321490315,0.735711424,-1884702.9
54.319096127,0.614794763,-1869849.5
54.337131407,0.627025112,-1873427.2
54.36084473,0.737981955,-1888234.1
54.328299298,0.716579108,-1883863.4
54.320639209,0.757404719,-1886240.9
54.353342718,0.661707016,-1880242.0
54.319837107,0.780982483,-1887923.9
54.304849342,0.644446451,-1872998.9
54.328789389,0.631806234,-1873358.2
54.405113479,0.784312407,-1895459.0
54.301482283,0.700477447,-1880376.0
54.30308285,0.796784796,-1887559.1
54.409695976,0.805308265,-1897093.5
54.329401253,0.761405052,-1887287.4
54.354369182,0.781602437,-1890920.9
54.283637375,0.719186135,-1880240.4
54.361056745,0.726366942,-1887389.4
54.296779414,0.785617387,-1886298.5
54.357799953,0.789469021,-1891798.6
54.35694508,0.707950059,-1885670.6
54.296385798,0.621551716,-1868713.1
54.358056145,0.765177688,-1890016.5
54.285565499,0.80250269,-1886286.0
54.365986653,0.74359432,-1889090.5
54.351638158,0.806201186,-1892129.5
54.324481321,0.78256035,-1888438.5
54.362476594,0.688144121,-1884671.2
54.331147041,0.720349558,-1884386.6
54.287297755,0.696898339,-1878897.9
54.315913284,0.741630317,-1884665.5
54.297256234,0.801167734,-1887237.8
54.379563225,0.76537418,-1891868.5
54.352107064,0.626239522,-1874733.4
54.357958377,0.688572881,-1884317.9
54.353081783,0.698453464,-1884634.8
54.345971444,0.729222444,-1886313.1
54.416235481,0.752411542,-1894039.4
54.338673875,0.675515303,-1880942.6
54.290474342,0.686466153,-1878015.8
54.419783587,0.798833124,-1897696.0
54.304040504,0.653172328,-1874248.5
54.36511467,0.728551155,-1887899.2
54.402399647,0.703670551,-1889237.0
54.346462287,0.730958031,-1886483.1
54.354671369,0.646360657,-1878034.5
54.412714445,0.761850752,-1894439.6
54.323189132,0.680808431,-1880271.8
54.298431402,0.777072114,-1885804.4
54.365814787,0.784952366,-1892147.6
54.305217286,0.807304975,-1888176.5
54.313633206,0.799163493,-1888566.4
54.37467871,0.670190103,-1883562.5
54.311635688,0.788693818,-1887796.0
54.409107207,0.719003856,-1890948.5
54.309516606,0.732765489,-1883460.8
54.295845678,0.706810272,-1880364.4
54.316477824,0.769531035,-1886786.8
54.300779166,0.618452348,-1868661.6
54.334525829,0.80569952,-1890635.2
54.372801869,0.724843344,-1888280.1
54.434010728,0.782952327,-1897826.8
54.378232342,0.789706588,-1893562.1
54.383911862,0.6416,-1880096.8
54.283808333,0.720019846,-1880316.9
54.288578714,0.767233914,-1884231.8
54.3964661,0.753508701,-1892431.4
54.307311322,0.675990696,-1878028.0
54.321898029,0.673561818,-1879047.9
54.285382055,0.631481216,-1869173.8
54.306745438,0.765599732,-1885662.8
54.331825294,0.730093108,-1885168.9
54.333941945,0.76749161,-1888127.5
54.376846506,0.64478434,-1879907.5
54.284522669,0.732850157,-1881332.0
54.331369939,0.704113856,-1883199.8
54.419324742,0.727322299,-1892440.1
54.414584528,0.750720948,-1893773.2
54.331025649,0.725087917,-1884727.9
54.42549219,0.705673037,-1891358.4
54.382823942,0.709115655,-1887968.5
54.335420579,0.786521641,-1889667.5
54.379738295,0.776428994,-1892704.6
54.306272249,0.704328223,-1881071.0
54.381692127,0.790624314,-1893926.5
54.366595538,0.753389446,-1889870.1
54.292594605,0.680555289,-1877320.0
54.294603203,0.678316839,-1877170.5
54.389744044,0.6832681,-1886639.9
54.404874238,0.73052183,-1891442.0
54.306405548,0.775037057,-1886334.8
54.357965423,0.783393376,-1891360.9
54.289079764,0.658034419,-1873562.4
54.455453701,0.752709292,-1897413.0
54.405395304,0.789696768,-1895883.0
54.356160291,0.78183904,-1891092.0
54.299598998,0.629544657,-1870234.5
54.342876314,0.695964025,-1883577.6
54.332354869,0.721641916,-1884585.6
54.362247267,0.628744883,-1876079.6
