Lat,Lon,Chi
53.8025254,1.1820263,-1860371.4
53.787433,1.0625044,-1854910.8
53.7652938,1.1895965,-1857216.2
53.803057,1.2157345,-1857529.8
53.8273824,1.2669706,-1854794.4
53.8162737,1.1124019,-1859721.6
53.7829723,1.136754,-1857996.6
53.781492,1.2647525,-1851890.8
53.8113089,1.1171198,-1859515.0
53.7879836,1.0662432,-1855132.2
53.8109359,1.2677023,-1853623.6
53.8210796,1.2556088,-1855339.9
53.8321901,1.0706763,-1859140.0
53.7686117,1.0874208,-1854441.2
53.8075401,1.2428771,-1855514.2
53.8178639,1.1114074,-1859811.1
53.7731425,1.2599707,-1851737.2
53.8378209,1.1584033,-1863723.6
53.7800445,1.0833286,-1855249.0
53.7686019,1.1414043,-1856978.9
53.7607527,1.2444548,-1852226.2
53.7700529,1.1037594,-1855345.0
53.7886683,1.2357506,-1854851.5
53.8370178,1.1267334,-1862174.6
53.7802566,1.1936542,-1857877.5
53.8350577,1.2640898,-1855557.4
53.7965043,1.1231945,-1858527.0
53.7691571,1.1480207,-1857336.2
53.8131138,1.1204697,-1859826.9
53.7897854,1.1448372,-1858960.8
53.8184254,1.2243021,-1857833.4
53.7614251,1.1911347,-1856824.0
53.8292864,1.2108933,-1859709.6
53.8002441,1.1001074,-1857768.9
53.7970697,1.2653794,-1852887.4
53.7972415,1.1127672,-1858103.0
53.8210798,1.0764457,-1858454.1
53.7993612,1.0985022,-1857618.1
53.7671822,1.0847207,-1854180.0
53.8172418,1.1367636,-1860943.0
53.7967535,1.1171693,-1858267.0
53.770098,1.1264784,-1856410.8
53.7967621,1.0694055,-1856034.9
53.820721,1.0663639,-1857952.5
53.7989951,1.1346813,-1859277.8
53.7993202,1.1336781,-1859258.9
53.8205803,1.2620715,-1854754.8
53.7636867,1.279774,-1849409.0
53.7816475,1.0652389,-1854541.8
53.8354555,1.1006191,-1860820.0
53.8233121,1.0989882,-1859699.6
53.8212583,1.0643582,-1857905.4
53.7695896,1.0887152,-1854592.4
53.8279356,1.2584467,-1855559.5
53.7604634,1.0972514,-1854179.8
53.81769,1.2617841,-1854584.2
53.8089011,1.1560783,-1861129.8
53.8238936,1.2517834,-1855855.8
53.7990012,1.2731593,-1852353.5
53.8336684,1.1578464,-1863340.5
53.7715653,1.2678823,-1850955.2
53.7977487,1.1839989,-1859881.2
53.7863943,1.2499364,-1853486.4
53.7649191,1.2419879,-1852718.1
53.7962071,1.1194886,-1858328.2
53.7664173,1.2273371,-1854069.5
53.7890898,1.1389563,-1858625.8
53.7652391,1.1545331,-1857304.5
53.7649626,1.0804723,-1853772.5
53.7602152,1.1199261,-1855254.4
53.8143976,1.12229,-1860022.1
53.7908924,1.2260982,-1855824.5
53.7625263,1.1653234,-1857574.5
53.7680949,1.125904,-1856211.0
53.7620774,1.0953755,-1854235.0
53.7985374,1.1351583,-1859261.2
53.8299704,1.0939192,-1860035.6
53.7938917,1.1662646,-1860315.1
53.816862,1.0729849,-1857930.0
53.7764203,1.1439256,-1857769.1
53.8144741,1.2497284,-1855396.5
53.812394,1.0996614,-1858792.9
53.8243243,1.2078237,-1859637.9
53.8272006,1.118681,-1860954.6
53.7773777,1.168238,-1858987.8
53.8295433,1.2116899,-1859659.9
53.8166333,1.2293683,-1857280.4
53.7948891,1.1022538,-1857409.2
53.7953026,1.1080215,-1857714.1
53.7993101,1.0949972,-1857450.1
53.7910116,1.280157,-1851217.6
53.8022784,1.1269409,-1859198.2
53.7739545,1.2493711,-1852696.5
53.7926343,1.2432082,-1854481.1
53.779166,1.0688772,-1854497.6
53.8006598,1.1500201,-1860137.2
53.7721815,1.1332291,-1856905.1
53.8153021,1.2771278,-1853113.0
53.782035,1.1384628,-1857996.9
53.7763269,1.2209414,-1855283.4
53.8292703,1.2337169,-1857760.2
53.802851,1.0916454,-1857598.2
53.8301451,1.1348689,-1861964.0
53.7765653,1.1847908,-1858386.1
53.8311255,1.2815949,-1853798.8
53.787605,1.1167845,-1857462.4
53.7857071,1.1599633,-1859316.5
53.801879,1.086272,-1857262.9
53.7671992,1.1055964,-1855185.4
53.771686,1.1475593,-1857531.8
53.8074954,1.2040494,-1858826.4
53.7710048,1.0938083,-1854961.4
53.7861766,1.1030723,-1856698.5
53.8309272,1.2636994,-1855312.9
53.8043805,1.0877283,-1857546.2
53.8313456,1.0830242,-1859644.1
53.765882,1.1932731,-1856941.5
53.7803233,1.1251746,-1857228.1
53.8127552,1.1898324,-1860394.9
53.7769991,1.084144,-1855025.5
53.7674737,1.0761736,-1853791.2
53.8093584,1.091704,-1858159.4
53.776888,1.2325444,-1854330.5
53.8250513,1.0770301,-1858823.2
53.7605409,1.0680096,-1852765.6
53.8004208,1.2362831,-1855597.4
53.7790424,1.2724749,-1851066.6
53.7825155,1.0746974,-1855058.0
53.7765341,1.1306501,-1857158.6
53.7803888,1.1955376,-1857725.9
53.7638531,1.0852291,-1853903.2
53.8195896,1.2807355,-1853093.8
53.771256,1.0958052,-1855076.5
53.8123118,1.078912,-1857815.8
53.8297649,1.0640785,-1858622.9
53.7964832,1.1152686,-1858154.4
53.8253238,1.2361372,-1857288.2
53.829246,1.2486127,-1856487.1
53.8125747,1.2059601,-1859005.4
53.7880744,1.1266612,-1857964.4
53.7803506,1.2574888,-1852434.6
53.8289204,1.1607719,-1863069.2
53.8083345,1.1073121,-1858801.2
53.7985045,1.0862049,-1856970.4
53.7974969,1.164991,-1860565.2
53.7989324,1.0997805,-1857640.8
53.8371722,1.136649,-1862651.1
53.787653,1.1892081,-1858756.2
53.8027787,1.2477477,-1854777.9
53.7605381,1.2408273,-1852521.9
53.7757392,1.0700534,-1854243.6
53.8015653,1.1772268,-1860716.9
53.8132991,1.1402227,-1860765.4
53.8019179,1.1782622,-1860651.6
53.8288699,1.199955,-1860616.1
53.7838032,1.0793666,-1855386.8
