Lat,Lon,Chi
53.5616749,2.4302938,-1750631.0
53.6326422,2.471717,-1745778.5
53.6215576,2.2492735,-1766613.2
53.6380368,2.4257663,-1751294.4
53.5389614,2.4820843,-1744388.1
53.6062304,2.3735612,-1757500.9
53.5952744,2.4493046,-1748405.4
53.5471916,2.2821348,-1761999.2
53.5852827,2.2954158,-1763634.1
53.6004615,2.4328381,-1750387.0
53.6468635,2.3136104,-1764749.9
53.6429,2.4866133,-1744008.6
53.5842968,2.5361067,-1737984.5
53.6133831,2.3546291,-1759780.9
53.6170023,2.2756706,-1765741.1
53.6449661,2.3552969,-1759750.9
53.638265,2.5054173,-1741748.0
53.5450708,2.5443965,-1736929.9
53.639013,2.4415133,-1749408.2
53.5382279,2.3638717,-1758554.4
53.5460116,2.3943288,-1754917.0
53.6497864,2.3919277,-1755367.9
53.5711178,2.4340275,-1750198.4
53.6360808,2.551592,-1736210.5
53.6288578,2.5187763,-1740131.9
53.6296298,2.4892253,-1743675.0
53.6190676,2.483444,-1744351.4
53.5646177,2.2499066,-1763673.9
53.5521929,2.4412273,-1749305.6
53.5857067,2.4750371,-1745306.5
53.652525,2.4015986,-1754213.1
53.570215,2.5114317,-1740920.2
53.6274976,2.3300532,-1762748.8
53.5874512,2.3099563,-1763394.2
53.5844906,2.2759043,-1764065.9
53.6577173,2.2500947,-1768450.9
53.5564834,2.2490457,-1763276.6
53.5877278,2.3514924,-1760115.9
53.5683131,2.3494228,-1760333.9
53.5756558,2.3342374,-1762165.5
53.6103965,2.4672254,-1746281.6
53.6014245,2.2855101,-1764703.6
53.5552165,2.3985575,-1754424.5
53.5488554,2.2539605,-1762765.8
53.5357256,2.4249417,-1751231.5
53.5997229,2.3714753,-1757740.0
53.5782894,2.4460666,-1748766.5
53.6468364,2.3285801,-1762955.6
53.5470408,2.4262815,-1751088.6
53.5543974,2.477359,-1744978.9
53.6485094,2.4708504,-1745906.6
53.563902,2.382737,-1756334.2
53.5625832,2.5124822,-1740782.2
53.6223652,2.35803,-1759387.2
53.5846384,2.5207945,-1739820.5
53.6332148,2.5313978,-1738626.1
53.5667581,2.4991602,-1742385.4
53.6357335,2.3872361,-1755908.4
53.5637358,2.5082052,-1741296.4
53.6235205,2.4130862,-1752790.9
53.6380407,2.3763108,-1757221.5
53.5559619,2.4873657,-1743781.9
53.641637,2.2901597,-1766656.2
53.5746748,2.5420541,-1737256.6
53.5802696,2.4211978,-1751750.0
53.5631138,2.3468146,-1760638.1
53.6495816,2.4440145,-1749125.4
53.6095455,2.2677193,-1765550.8
53.614735,2.3169116,-1764303.9
53.6585867,2.261046,-1768231.2
53.6640017,2.2773573,-1768114.5
53.6109058,2.4025145,-1754037.9
53.5589184,2.3760444,-1757128.6
53.6433885,2.5241437,-1739511.5
53.6427397,2.5029823,-1742047.1
53.6198427,2.2813113,-1765750.9
53.606846,2.3652764,-1758494.6
53.6011112,2.3894181,-1755592.0
53.5933253,2.488741,-1743675.8
53.6021052,2.5134182,-1740732.4
53.6560127,2.3594351,-1759272.2
53.6485549,2.3124091,-1764896.4
53.6145207,2.4811364,-1744620.8
53.5334912,2.4625337,-1746722.4
53.619928,2.2506786,-1766495.8
53.6416621,2.3147436,-1764605.6
53.6090649,2.5376325,-1737841.0
53.5479214,2.2691423,-1762351.0
53.6532346,2.4992937,-1742505.9
53.5673402,2.3238703,-1762024.8
53.6369679,2.4926968,-1743270.5
53.5440691,2.3234215,-1760840.6
53.5811861,2.488697,-1743662.5
53.5693035,2.3627401,-1758739.4
53.6243246,2.5326235,-1738465.1
53.5486939,2.3343692,-1760813.6
53.5890088,2.3374489,-1761801.6
53.6356002,2.2676412,-1766890.5
53.645488,2.4423141,-1749322.8
53.5645706,2.3142977,-1762114.6
53.5794604,2.3914047,-1755320.0
53.5623253,2.5424202,-1737193.4
53.6062057,2.4587131,-1747295.2
53.640192,2.4116455,-1752989.6
53.6121545,2.3080774,-1764708.8
53.625203,2.5093585,-1741255.2
53.6139971,2.3464399,-1760763.5
53.6261333,2.4155976,-1752494.0
53.5943538,2.3716034,-1757717.0
53.6078814,2.4386391,-1749703.9
53.5436737,2.2906754,-1761612.1
53.5395349,2.5204267,-1739793.4
53.5901116,2.3505151,-1760237.4
53.5505026,2.4656492,-1746376.0
53.6277544,2.4626594,-1746855.6
53.6400214,2.2713382,-1767028.5
53.5652673,2.3464471,-1760685.5
53.5675611,2.5274315,-1738998.2
53.6299509,2.4666657,-1746379.2
53.6515763,2.3179277,-1764240.0
53.6267356,2.5488087,-1736529.5
53.5536764,2.3811987,-1756502.6
53.5947434,2.5089501,-1741256.2
53.6426841,2.3528022,-1760046.0
53.5741984,2.4469778,-1748650.6
53.5805109,2.3521996,-1760020.2
53.5913774,2.396782,-1754694.2
53.6142416,2.5084565,-1741346.2
53.6359747,2.5159656,-1740480.4
53.5585963,2.2809238,-1762614.4
53.5881324,2.4273597,-1751024.1
53.6310206,2.3804298,-1756716.8
53.5402315,2.3828125,-1756287.9
53.5502475,2.4118296,-1752825.8
53.5479921,2.279608,-1762101.4
53.5764964,2.414285,-1752573.1
53.5436985,2.3917421,-1755223.2
53.5939674,2.240372,-1765411.4
53.544457,2.2589065,-1762420.0
53.5988576,2.4417403,-1749317.8
53.6393884,2.4398723,-1749605.4
53.5738745,2.2724039,-1763605.4
53.5777354,2.3583294,-1759281.1
53.653496,2.4028371,-1754067.1
53.553408,2.3978556,-1754505.8
53.6174857,2.3389331,-1761668.4
53.6405136,2.3954088,-1754936.2
53.6095788,2.4203514,-1751898.4
53.6550353,2.5200381,-1740022.0
53.5439207,2.3506515,-1760148.1
53.5984897,2.2870159,-1764516.2
53.614681,2.5156986,-1740478.5
53.5425543,2.511372,-1740883.8
53.6226973,2.309387,-1765217.8
53.6209828,2.4903594,-1743525.5
53.6549717,2.380914,-1756696.0
53.5807639,2.3316354,-1762485.8
53.5616652,2.2502737,-1763513.1
53.5872097,2.2928195,-1763796.2
53.6466202,2.4195879,-1752047.9
53.6225532,2.4843318,-1744250.6
53.6601649,2.2465242,-1768663.4
53.5785539,2.4676708,-1746177.6
53.6178706,2.3212461,-1763789.2
53.5349885,2.4554118,-1747578.2
53.5486299,2.3960435,-1754715.6
53.5941424,2.4384302,-1749707.1
53.5764006,2.4686516,-1746056.9
53.5978234,2.3049522,-1764048.4
53.5426434,2.543146,-1737075.6
53.642549,2.5449715,-1737014.6
53.567315,2.2978983,-1762651.8
53.5414128,2.4195759,-1751883.8
53.5976467,2.4704235,-1745878.1
53.5939456,2.4190609,-1752028.1
53.591338,2.545514,-1736868.8
53.5683028,2.2534549,-1763777.0
53.5400453,2.4804421,-1744586.4
53.6542969,2.5061472,-1741686.0
53.5958595,2.5450958,-1736925.6
53.6141752,2.390432,-1755490.9
53.6083006,2.3966151,-1754740.9
53.5640857,2.3567831,-1759445.0
53.6219886,2.3755875,-1757283.0
53.5630454,2.3988031,-1754407.2
53.6039816,2.3581212,-1759347.8
53.5812494,2.276734,-1763879.4
53.6584627,2.3559841,-1759690.0
53.6624681,2.3197322,-1764040.5
53.6024901,2.4018931,-1754099.1
53.577791,2.280482,-1763611.1
53.6509612,2.4962673,-1742864.6
53.5812104,2.4786837,-1744862.0
53.5429765,2.4983692,-1742442.8
53.6143092,2.2486631,-1766255.8
53.5530268,2.2478198,-1763129.1
53.5673587,2.3950068,-1754868.9
53.5353594,2.4476509,-1748509.1
53.5362224,2.4403009,-1749391.5
53.5775722,2.2756754,-1763715.4
53.6131918,2.3131863,-1764638.4
53.547158,2.4335368,-1750219.1
53.6273544,2.249796,-1766898.4
53.5444438,2.4013261,-1754075.5
53.597008,2.3927153,-1755190.5
53.5389189,2.3577948,-1759284.4
53.6319428,2.4528876,-1748033.9
53.6391887,2.3480363,-1760611.9
53.5485845,2.4880505,-1743687.8
53.5495262,2.4231341,-1751469.8
53.6325916,2.3498642,-1760382.2
53.6310863,2.5513901,-1736226.8
53.6016064,2.3442059,-1761011.8
53.5980144,2.516875,-1740311.1
53.5843708,2.3784466,-1756880.9
53.5984871,2.5256139,-1739264.6
53.6457436,2.5149195,-1740620.9
53.5438495,2.2793254,-1761895.5
53.5700961,2.4454926,-1748822.6
53.5817611,2.409057,-1753208.1
53.5589086,2.3974345,-1754564.5
53.5461958,2.3031215,-1761441.0
53.557328,2.4189376,-1751985.2
53.6034929,2.3512593,-1760169.5
53.5803072,2.4322637,-1750424.4
53.5353191,2.4378159,-1749687.6
53.5848858,2.3235033,-1762935.2
53.6304479,2.3427165,-1761235.5
53.6401834,2.2776255,-1766884.8
53.6575148,2.4153894,-1752568.2
53.5425077,2.4299096,-1750646.4
53.5979311,2.4308548,-1750620.8
53.534605,2.4509863,-1748108.1
53.5593466,2.4679888,-1746109.4
53.6206005,2.4304912,-1750700.2
53.6347677,2.3997183,-1754410.8
53.5700366,2.367084,-1758219.8
53.5699631,2.4480938,-1748510.6
53.6145322,2.5511335,-1736231.4
53.6312379,2.4662501,-1746431.5
53.5457492,2.4193559,-1751916.9
53.6260602,2.5129178,-1740829.9
53.598626,2.2544648,-1765310.0
53.6586134,2.4300735,-1750810.2
53.6571206,2.3892256,-1755703.6
53.5811363,2.2609431,-1764255.2
53.5458074,2.4328856,-1750295.5
53.553765,2.3308032,-1761160.2
53.6561043,2.4706856,-1745938.8
53.6364736,2.4737723,-1745538.0
53.5834468,2.2651795,-1764271.4
53.5494461,2.4792892,-1744739.6
53.6490256,2.51618,-1740475.1
53.5973536,2.3108877,-1763880.8
53.5359606,2.4440602,-1748940.4
53.6541662,2.4758514,-1745316.9
53.5970933,2.3825776,-1756405.6
53.5810213,2.3091318,-1763083.9
53.5473391,2.4234576,-1751427.6
53.5469868,2.272698,-1762216.9
53.5478748,2.3907872,-1755344.1
53.5957104,2.2475446,-1765327.6
53.5322117,2.5159208,-1740322.2
53.6574482,2.4293893,-1750890.4
53.5631143,2.4701798,-1745852.8
53.6505972,2.4401878,-1749585.4
53.5812824,2.4417787,-1749285.1
53.5619288,2.390826,-1755361.6
53.615494,2.3172016,-1764270.1
53.5630389,2.3939263,-1754991.8
53.5417274,2.2486787,-1762527.2
