Lat,Lon,Chi
53.8305273,1.5267124,-1832549.0
53.7794936,1.5850618,-1824019.9
53.8158411,1.4397969,-1839124.0
53.7883017,1.6106909,-1822383.8
53.7706389,1.4477244,-1835380.2
53.728142,1.4640788,-1831084.5
53.7241751,1.4916538,-1828415.0
53.7641389,1.3763254,-1841157.4
53.8157001,1.4101214,-1841698.6
53.7976861,1.4331447,-1838476.9
53.7811114,1.5865968,-1823995.5
53.8282994,1.5238799,-1832645.1
53.7383216,1.4904157,-1829478.2
53.7688005,1.5582214,-1825634.1
53.7939559,1.5509201,-1827969.9
53.7291375,1.555565,-1823185.1
53.8018063,1.3837899,-1843052.8
53.7264356,1.385417,-1837817.6
53.7754464,1.5378928,-1827853.5
53.821121,1.4746703,-1836444.6
53.7614967,1.4687691,-1832929.6
53.8326215,1.5586941,-1829905.9
53.7338074,1.4506974,-1832631.9
53.726398,1.4699556,-1830454.6
53.7264867,1.4672029,-1830700.2
53.7222048,1.5144173,-1826299.9
53.7481939,1.3658056,-1840995.8
53.7623804,1.3701133,-1841579.0
53.7444616,1.3944831,-1838246.5
53.7269716,1.4999839,-1827878.4
53.7507006,1.390116,-1839048.8
53.7555838,1.4527421,-1833926.0
53.8348187,1.3866663,-1845033.5
53.7236507,1.4923685,-1828317.6
53.8369742,1.614882,-1825308.1
53.7225069,1.4915003,-1828315.6
53.8405767,1.5020419,-1835375.9
53.8202876,1.3866178,-1844055.2
53.7964445,1.4478836,-1837109.1
53.7668929,1.5832886,-1823322.9
53.8407704,1.5101782,-1834681.1
53.8224984,1.5312203,-1831613.8
53.8090093,1.6018815,-1824549.8
53.7990049,1.4266597,-1839130.5
53.8052392,1.5223994,-1831216.2
53.7793963,1.5717672,-1825170.6
53.8314938,1.5399899,-1831458.4
53.7891805,1.460895,-1835486.4
53.7411243,1.4843527,-1830195.9
53.7978483,1.5850947,-1825257.2
53.7747494,1.3722134,-1842232.6
53.7347664,1.6159398,-1818308.8
53.8183173,1.5211112,-1832211.1
53.7944915,1.4266255,-1838828.6
53.8042286,1.5344234,-1830100.2
53.7262797,1.398855,-1836637.1
53.7617255,1.5411394,-1826644.0
53.8051506,1.4724518,-1835558.5
53.7488624,1.4851455,-1830649.9
53.7733233,1.5357859,-1827893.4
53.7745706,1.4592057,-1834645.5
53.8345023,1.4193433,-1842166.5
53.7556496,1.4169041,-1837050.0
53.7830409,1.6088873,-1822184.9
53.8150591,1.4375901,-1839264.0
53.8349185,1.5854208,-1827733.9
53.7519115,1.56183,-1824179.0
53.8350059,1.3758869,-1845984.8
53.7796524,1.4373192,-1836894.9
53.7320091,1.3937517,-1837469.1
53.7422738,1.5740913,-1822460.0
53.7711253,1.4077939,-1838889.8
53.8156702,1.5695356,-1827816.4
53.7822696,1.5135486,-1830434.1
53.8322277,1.6103373,-1825382.0
53.7317374,1.5943848,-1819981.8
53.8352253,1.4767361,-1837218.1
53.7553264,1.4981703,-1829952.1
53.7777703,1.5990357,-1822687.0
53.821021,1.4212689,-1841088.4
53.8327401,1.4322285,-1840925.6
53.7754957,1.4772578,-1833136.8
53.8198518,1.6118559,-1824414.1
53.7888719,1.5730894,-1825696.4
53.7589872,1.3947299,-1839206.6
53.7382495,1.5781485,-1821834.9
53.7290504,1.4687335,-1830740.6
53.7531614,1.4284467,-1835876.9
53.7557213,1.6141602,-1819880.2
53.7623359,1.5792878,-1823363.0
53.7389,1.4003295,-1837361.4
53.8121754,1.4835637,-1835065.9
53.7670523,1.5224467,-1828631.1
53.7252659,1.4736382,-1830057.2
53.7252037,1.4559061,-1831597.0
53.7409318,1.5439097,-1824997.2
53.7980252,1.3743711,-1843617.2
53.7457493,1.4438636,-1834034.1
53.7464514,1.4585011,-1832807.0
53.7614364,1.594905,-1821942.4
53.7257395,1.5385209,-1824439.8
53.7340546,1.4766539,-1830388.6
53.726646,1.4648049,-1830919.5
53.7846731,1.3832145,-1841945.0
53.7434056,1.5170529,-1827502.9
53.7296946,1.4229255,-1834772.4
53.7827948,1.5427332,-1827928.5
53.7271275,1.5569268,-1822930.9
53.7454703,1.372794,-1840203.2
53.7303877,1.5549578,-1823322.6
53.7351288,1.4206374,-1835338.9
53.7359615,1.4289412,-1834671.8
53.7334098,1.4143854,-1835766.9
53.7486038,1.4151635,-1836725.9
53.7463892,1.3931063,-1838497.0
53.7350622,1.465786,-1831402.6
53.7277532,1.5168823,-1826460.2
53.7655204,1.5873762,-1822874.0
53.7228382,1.5508477,-1823170.5
53.7343277,1.3836403,-1838505.9
53.726326,1.4319019,-1833762.8
53.7429426,1.4178442,-1836110.0
53.8328005,1.4846688,-1836363.6
53.7485492,1.6148943,-1819331.5
53.7566847,1.3667129,-1841490.8
53.7345647,1.4724036,-1830793.1
53.7558974,1.382204,-1840088.5
53.7317041,1.4869701,-1829331.6
53.7392715,1.3951565,-1837837.1
53.7318355,1.6078616,-1818814.0
53.7309802,1.4604753,-1831589.6
53.8310142,1.5107449,-1833971.8
53.8296413,1.5326732,-1831969.9
53.7269653,1.4989673,-1827967.0
53.7217941,1.4810848,-1829174.8
53.7250117,1.4256686,-1834216.9
53.7309059,1.4521429,-1832310.1
53.7580732,1.4531134,-1834061.1
53.7333404,1.4478683,-1832846.5
53.7331644,1.4577125,-1831978.2
53.7492829,1.390639,-1838907.1
53.7903147,1.5901016,-1824311.8
53.7284943,1.3659895,-1839648.2
53.7534676,1.4624923,-1832933.5
53.7237038,1.4957848,-1828023.2
53.7328471,1.4271556,-1834617.0
53.7523158,1.3959516,-1838649.4
53.8367862,1.6103801,-1825686.9
53.7954698,1.6062035,-1823258.8
53.7345444,1.3654268,-1840106.1
53.7491226,1.3978785,-1838265.5
53.7328716,1.3950497,-1837414.2
53.7495821,1.399433,-1838161.5
53.7251293,1.4928551,-1828375.0
53.8208879,1.5761201,-1827596.0
53.7229969,1.4956654,-1827985.9
53.8352747,1.4231616,-1841885.5
53.8342034,1.3874375,-1844924.4
53.7333108,1.4895452,-1829215.8
53.785062,1.4636839,-1834964.4
53.8165887,1.5470907,-1829833.2
53.8095775,1.4072232,-1841537.2
53.7859422,1.420856,-1838753.1
53.7456081,1.5996816,-1820457.5
53.7461435,1.4753468,-1831319.2
53.7671186,1.3746218,-1841507.0
53.7785278,1.5459111,-1827363.4
53.820908,1.5164953,-1832788.6
53.8042786,1.5287606,-1830596.8
53.7840735,1.6160982,-1821626.9
53.7976471,1.5355858,-1829554.4
53.8327531,1.4918559,-1835734.8
53.7561669,1.4829131,-1831338.1
53.777097,1.4131518,-1838826.5
53.7914529,1.4067245,-1840356.5
53.8076826,1.4476824,-1837886.6
53.8092768,1.5920731,-1825421.9
53.8286418,1.411356,-1842466.0
53.831302,1.3936794,-1844184.8
53.8009178,1.5801916,-1825891.9
53.8028418,1.614646,-1823021.9
53.8193458,1.5780709,-1827321.2
53.7839488,1.5031959,-1831448.9
53.792579,1.5183451,-1830713.2
53.7493141,1.5723376,-1823088.5
53.7503453,1.5354773,-1826367.6
53.8057776,1.5525888,-1828623.5
53.8193075,1.557914,-1829073.9
53.8336227,1.4324983,-1840961.6
53.7955921,1.446568,-1837166.2
53.7490538,1.5653813,-1823676.9
53.8296654,1.4637639,-1837971.6
53.7624253,1.5711751,-1824075.4
53.7874994,1.4844478,-1833321.1
53.7977944,1.4913175,-1833419.1
53.7812903,1.4885943,-1832540.9
53.8277382,1.5828305,-1827474.1
53.7276537,1.3875015,-1837718.8
53.7877621,1.6074097,-1822633.0
53.8332453,1.5409739,-1831491.1
53.8120461,1.604072,-1824564.1
53.7690866,1.3829616,-1840914.2
53.8076499,1.5168734,-1831859.9
53.7591147,1.5372771,-1826803.0
53.8149324,1.5206144,-1832026.4
53.8299559,1.5241255,-1832735.8
53.8259473,1.4219595,-1841360.2
53.788532,1.4091909,-1839944.1
53.8182196,1.4437153,-1838943.8
53.8298059,1.4803306,-1836538.9
53.7768032,1.5694515,-1825196.9
53.8243,1.5502966,-1830074.2
53.7927558,1.5845688,-1824958.4
53.8345939,1.6049307,-1826013.1
53.8291894,1.4559565,-1838619.6
53.7624642,1.5283004,-1827811.5
53.8083307,1.5834222,-1826111.2
53.7380851,1.4408093,-1833782.2
53.798904,1.4125546,-1840352.1
53.81191,1.4435926,-1838527.9
53.8153088,1.4663779,-1836773.9
53.8194414,1.4135866,-1841649.9
53.8249064,1.5983975,-1825927.6
53.797305,1.4837272,-1834047.0
53.8106319,1.3820703,-1843798.6
53.7838589,1.4081283,-1839721.0
53.8333937,1.5505495,-1830667.0
53.7962032,1.5149728,-1831251.8
53.7815353,1.477697,-1833506.4
53.8163948,1.5602962,-1828669.6
53.8068013,1.4310794,-1839272.4
53.7246319,1.6051666,-1818562.5
53.831255,1.5200083,-1833182.0
53.8108093,1.587752,-1825901.4
53.7987096,1.4080121,-1840734.2
53.7984582,1.4322508,-1838606.6
53.749612,1.5945315,-1821176.4
53.810744,1.4817582,-1835126.5
53.8332911,1.6054876,-1825876.4
53.8013482,1.4577811,-1836579.5
53.7379151,1.5573837,-1823620.5
53.8309291,1.5548105,-1830129.8
53.8082901,1.3729477,-1844434.6
53.7555215,1.4361507,-1835365.9
53.7736877,1.4486578,-1835504.5
53.7533746,1.585126,-1822248.9
53.8157079,1.4387982,-1839202.0
53.8158074,1.3764848,-1844635.2
53.7940787,1.4687717,-1835131.1
53.8346936,1.4798696,-1836909.0
53.7592522,1.5668987,-1824233.2
53.7965648,1.5560472,-1827699.8
53.7696757,1.479782,-1832523.0
53.7643594,1.6161021,-1820294.5
53.8264434,1.5915367,-1826628.6
53.782059,1.5590558,-1826457.5
53.8152002,1.4118891,-1841511.2
53.7938103,1.5131624,-1831247.8
53.829531,1.5342753,-1831823.1
53.7935303,1.5968321,-1823943.8
53.772819,1.5875135,-1823355.4
53.7414886,1.5278001,-1826438.0
53.8062369,1.4793331,-1835032.9
53.7769759,1.5238404,-1829180.5
53.7754003,1.5817974,-1824027.5
53.8213656,1.539743,-1830795.2
53.8225149,1.4728099,-1836701.2
53.8072154,1.4747497,-1835498.2
53.7824436,1.4397038,-1836875.6
53.8173512,1.5006804,-1833925.2
53.7270146,1.5297565,-1825289.4
53.7697602,1.5129278,-1829643.0
53.8368305,1.5843375,-1827957.2
53.7719526,1.4601743,-1834384.4
53.7732242,1.4765082,-1833047.8
53.824362,1.562143,-1829047.5
53.8320948,1.5700519,-1828881.5
53.7767444,1.6122029,-1821470.8
53.8330794,1.3734059,-1846070.0
53.7946047,1.4930725,-1833050.6
53.8101556,1.4159766,-1840814.1
53.762092,1.4384635,-1835608.5
53.8338835,1.4243251,-1841691.0
53.7525803,1.4911894,-1830374.5
53.8319169,1.5118542,-1833936.4
53.8122205,1.5859731,-1826152.0
53.7403826,1.5317578,-1826018.2
53.763694,1.4113806,-1838074.9
53.7997946,1.5957736,-1824458.8
53.7653638,1.5802893,-1823481.0
53.7231824,1.3741925,-1838575.5
53.8351844,1.5816423,-1828081.5
53.7677293,1.541873,-1826985.5
53.7933822,1.4279931,-1838634.5
53.8075738,1.505046,-1832884.8
53.7309105,1.3950736,-1837279.1
53.7683529,1.4590128,-1834242.5
53.7507501,1.5503665,-1825098.6
53.7652017,1.4118065,-1838139.6
53.7609227,1.6003251,-1821436.0
53.8291401,1.4392307,-1840072.5
53.7849048,1.3807428,-1842176.2
53.7347781,1.5766399,-1821731.5
