Lat,Lon,Chi
53.6944797,1.5054267,-1825209.0
53.7150765,1.4090874,-1834989.6
53.6610278,1.5399077,-1819946.1
53.7075347,1.5421385,-1822894.6
53.6880938,1.5303282,-1822609.2
53.616335,1.5918612,-1812402.5
53.6647273,1.4589482,-1827245.4
53.7155583,1.4904874,-1827934.1
53.6803999,1.5365328,-1821549.0
53.682537,1.4647718,-1827941.8
53.6409893,1.5889358,-1814323.0
53.7022214,1.5463817,-1822166.2
53.6926756,1.4995326,-1825600.5
53.6973144,1.4504904,-1830183.9
53.6825117,1.5597168,-1819673.1
53.7139829,1.5790426,-1820116.6
53.6346675,1.5840006,-1814325.6
53.638818,1.5480776,-1817734.0
53.7166497,1.4186394,-1834263.4
53.6153855,1.5518687,-1815820.2
53.6685946,1.5245487,-1821795.0
53.6679375,1.5262195,-1821604.8
53.6947819,1.4181464,-1832829.2
53.6375891,1.525706,-1819598.4
53.6594163,1.4846976,-1824644.5
53.6155909,1.5623382,-1814922.4
53.7037058,1.5175191,-1824779.1
53.6508131,1.5527346,-1818139.2
53.7185011,1.4760887,-1829386.5
53.6467183,1.5211398,-1820613.8
53.6410361,1.5581169,-1817010.2
53.70621,1.5155235,-1825122.9
53.6668779,1.5251259,-1821628.8
53.7018038,1.4939876,-1826700.4
53.6580713,1.5567863,-1818276.5
53.7072768,1.5070796,-1825929.8
53.6229388,1.5729883,-1814492.0
53.616205,1.5485705,-1816163.0
53.6786964,1.5434313,-1820833.1
53.7196609,1.4375787,-1832818.1
53.7175227,1.4925884,-1827883.6
53.6320971,1.5731889,-1815093.5
53.6373486,1.4928499,-1822444.0
53.6535504,1.5611521,-1817591.2
53.696228,1.4970919,-1826053.5
53.6924385,1.5446015,-1821660.5
53.681328,1.4685063,-1827534.9
53.7207435,1.567816,-1821551.9
53.6785723,1.576855,-1817914.9
53.6772974,1.4451628,-1829295.2
53.7052143,1.4465454,-1831061.5
53.6502112,1.5771325,-1815974.0
53.7117895,1.4248461,-1833394.9
53.6946349,1.5323342,-1822876.5
53.7127567,1.5224836,-1824959.1
53.6934215,1.566004,-1819863.0
53.7086763,1.4683834,-1829393.2
53.704109,1.5867713,-1818776.9
53.6846516,1.4808579,-1826683.9
53.638438,1.6016397,-1813044.5
53.6364708,1.5070832,-1821144.4
53.6796558,1.4979398,-1824859.8
53.6816703,1.6119011,-1815072.8
53.6487364,1.6123901,-1812804.4
53.6691108,1.5257486,-1821725.5
53.6555755,1.4741686,-1825300.9
53.6859668,1.5247569,-1822950.6
53.681991,1.4558228,-1828684.2
53.7117027,1.4427218,-1831832.9
53.6138473,1.5275359,-1817835.2
53.6383846,1.558066,-1816835.1
53.6597434,1.5957946,-1814993.1
53.7191704,1.5534694,-1822694.2
53.6648222,1.4575567,-1827373.2
53.6333166,1.5492188,-1817262.9
53.7211258,1.3928077,-1836815.6
53.7030305,1.5858857,-1818781.0
53.7066661,1.5455412,-1822539.6
53.6228244,1.5139223,-1819627.1
53.634963,1.5823511,-1814489.2
53.6834949,1.5110525,-1823976.9
53.6136786,1.612019,-1810468.0
53.7016227,1.4153953,-1833530.8
53.6929189,1.4240385,-1832190.2
53.6893469,1.4487823,-1829794.0
53.7103589,1.5288188,-1824244.9
53.6792076,1.5189834,-1822996.4
53.6953097,1.5979664,-1817207.6
53.7222123,1.487751,-1828622.5
53.660871,1.5077983,-1822731.4
53.7158477,1.468737,-1829847.4
53.7067189,1.4921272,-1827194.0
53.6407764,1.5179456,-1820490.2
53.7059986,1.4907475,-1827265.6
53.6132388,1.583994,-1812878.2
53.7191221,1.5061479,-1826811.9
53.6244986,1.550967,-1816515.2
53.6869144,1.5137579,-1823972.2
53.722475,1.4861356,-1828780.6
53.6546673,1.5550636,-1818197.2
53.6653813,1.5520648,-1819181.8
53.6775441,1.5565146,-1819616.0
53.6953555,1.4174423,-1832929.1
53.648947,1.4873448,-1823706.9
53.6789993,1.5311738,-1821921.2
53.7066233,1.4268323,-1832873.1
53.615216,1.583522,-1813053.1
53.7101114,1.5023317,-1826534.9
53.6866796,1.4381124,-1830542.9
53.6687293,1.5468392,-1819862.9
53.6483891,1.5272716,-1820192.5
53.6623721,1.5583461,-1818431.4
53.710185,1.4068358,-1834854.8
53.6357507,1.5722715,-1815420.1
53.6854735,1.5372593,-1821828.6
53.6256529,1.548249,-1816829.1
53.6946258,1.4980314,-1825862.9
53.6620198,1.5168268,-1822023.0
53.6438745,1.5604731,-1816996.4
53.6164412,1.5600884,-1815175.6
53.6403791,1.5472695,-1817909.8
53.7222954,1.6075735,-1818194.9
53.71971,1.4638958,-1830530.8
53.6451266,1.5666535,-1816542.4
53.6293992,1.5706971,-1815127.9
53.6423883,1.542189,-1818488.2
53.6321893,1.5718138,-1815219.2
53.6452758,1.5625233,-1816912.5
53.6797484,1.4374221,-1830134.9
53.7041899,1.4896496,-1827239.1
53.704323,1.5263269,-1824054.8
53.6585374,1.5467553,-1819181.8
53.7127338,1.3929048,-1836239.4
53.7209808,1.4643779,-1830574.0
53.7150892,1.4971514,-1827322.0
53.6493149,1.5488015,-1818380.5
53.6636518,1.5280228,-1821158.2
53.710911,1.4011561,-1835398.1
53.6211922,1.555125,-1815929.4
53.6971027,1.4734998,-1828166.0
53.6316015,1.5307941,-1818752.0
53.6282745,1.5756039,-1814625.1
53.71271,1.4214727,-1833750.6
53.6167754,1.541512,-1816816.6
53.7239476,1.4296496,-1833799.0
53.6267283,1.5373104,-1817854.2
53.7136653,1.5035893,-1826665.6
53.6807956,1.5122741,-1823687.9
53.6733808,1.5180947,-1822680.1
53.7053484,1.5188947,-1824770.6
53.7134308,1.4752765,-1829115.0
53.699544,1.5110584,-1825060.6
53.6814035,1.4341681,-1830529.9
53.6978772,1.4532141,-1829984.6
53.676439,1.5051096,-1824017.1
53.6680979,1.5486535,-1819662.6
53.6160618,1.5769509,-1813681.9
53.7073667,1.514012,-1825332.8
53.6726978,1.5488557,-1819955.9
53.6232517,1.5752085,-1814319.2
53.6914299,1.5294238,-1822913.5
53.6952565,1.5281567,-1823282.2
53.7241843,1.4651403,-1830724.1
53.6143104,1.5484807,-1816043.1
53.6538691,1.5215296,-1821062.4
53.6947173,1.5028696,-1825447.5
53.6155827,1.5504263,-1815959.4
53.7181923,1.5000912,-1827276.2
53.6391949,1.4951652,-1822366.6
53.711556,1.5297907,-1824241.9
53.6462941,1.5634615,-1816900.0
53.6953603,1.4970575,-1825997.2
53.629001,1.5487727,-1817010.2
53.6674669,1.5257629,-1821613.1
53.6496714,1.5376558,-1819375.0
53.6218813,1.57429,-1814307.5
53.6172781,1.5624901,-1815023.8
53.6127961,1.5788625,-1813295.5
53.6333252,1.5704239,-1815417.1
53.6457593,1.5640415,-1816813.1
53.715629,1.5046481,-1826705.8
53.6396548,1.5420211,-1818318.0
53.684292,1.5295081,-1822424.0
53.6565202,1.5275568,-1820717.1
53.6836461,1.5324165,-1822127.2
53.6819982,1.5392689,-1821418.8
53.7023368,1.4991326,-1826288.0
53.7004722,1.4906986,-1826896.4
53.6691632,1.5239704,-1821883.9
53.6559976,1.5593698,-1817911.9
53.7102981,1.5114303,-1825755.1
53.6431392,1.5390755,-1818810.0
53.6474282,1.527154,-1820137.8
53.6567237,1.5321577,-1820330.2
53.6495359,1.5637731,-1817092.0
53.6812512,1.5247083,-1822636.2
53.6895149,1.5047674,-1824931.0
53.6399491,1.5525486,-1817421.5
53.6603697,1.5560731,-1818494.5
53.6588781,1.559077,-1818132.0
53.6440333,1.5400904,-1818782.1
53.6771563,1.5415559,-1820892.4
53.6311049,1.5731826,-1815026.6
53.7187021,1.5020647,-1827138.5
53.6334083,1.5430524,-1817805.8
53.6546,1.5588363,-1817864.0
53.7099811,1.4965131,-1827032.6
53.6587286,1.5580698,-1818209.8
53.6946548,1.4993056,-1825754.0
53.711479,1.4707491,-1829377.1
53.6340511,1.5436579,-1817796.8
53.6848752,1.5367215,-1821835.4
53.6748469,1.5459576,-1820353.5
53.6675789,1.5242553,-1821751.8
53.6816332,1.5410252,-1821241.1
53.6510262,1.563217,-1817240.9
53.6553061,1.5588581,-1817909.4
53.6833051,1.4993425,-1824983.5
53.6766614,1.4971186,-1824728.5
53.655041,1.5568332,-1818068.1
53.6674094,1.5269528,-1821505.4
53.6817779,1.4763489,-1826882.4
53.6797686,1.5608266,-1819391.5
53.673543,1.471442,-1826753.6
53.7175471,1.5600827,-1822008.8
53.6964523,1.576415,-1819161.4
53.6893716,1.4725377,-1827727.4
53.63718,1.6126072,-1812004.8
53.7053287,1.4509779,-1830683.1
53.7034057,1.446406,-1830951.5
53.7065988,1.4531039,-1830584.1
53.7149052,1.4522923,-1831216.0
53.7065595,1.6037853,-1817461.0
53.7051242,1.5536322,-1821730.6
53.6619709,1.5978069,-1814969.0
53.6655591,1.6145251,-1813755.5
53.6718685,1.557955,-1819107.2
53.6918186,1.5221507,-1823573.1
53.7202591,1.4357828,-1833015.0
53.6353419,1.5478047,-1817523.1
53.6287245,1.5952151,-1812947.8
53.6802952,1.4403171,-1829919.6
53.6902069,1.4868203,-1826540.6
53.6816883,1.6035379,-1815801.9
53.7237444,1.3978276,-1836555.4
53.6878144,1.5529264,-1820622.4
53.6852696,1.4871421,-1826178.9
53.7129581,1.4546256,-1830881.1
53.7076308,1.5845315,-1819210.4
53.6732031,1.612096,-1814483.5
53.7173691,1.578282,-1820412.0
53.6169461,1.6148617,-1810440.9
53.6782244,1.5747203,-1818077.2
53.7002119,1.5419908,-1822413.1
53.6746018,1.5769241,-1817640.5
53.6356258,1.5496877,-1817378.0
53.6304815,1.5658315,-1815624.8
53.6382296,1.5604937,-1816613.2
53.671552,1.5189488,-1822482.0
53.6837817,1.6007827,-1816183.1
53.7114226,1.5194692,-1825130.8
