Lat,Lon,Chi
53.722233083,2.100738528,-1775375.5
53.652505452,2.133907134,-1770992.5
53.579890711,2.179107415,-1766169.8
53.636363091,2.197074971,-1768636.2
53.549377204,2.085323674,-1766870.5
53.597586614,2.083428815,-1769391.8
53.708628927,2.101097653,-1774668.0
53.615026484,2.220970852,-1766962.5
53.561999864,2.213660714,-1764415.8
53.662668403,2.202085595,-1769866.6
53.669465114,2.134061518,-1771859.9
53.67878303,2.09115345,-1773376.1
53.701881837,2.173704793,-1772566.1
53.536185164,2.179367328,-1763918.6
53.601648485,2.11551581,-1768825.2
53.634808527,2.088135225,-1771189.9
53.555089847,2.109790905,-1766572.1
53.611526883,2.129799918,-1768986.9
53.546242227,2.092514668,-1766535.5
53.586053761,2.089165511,-1768661.0
53.623962187,2.195578783,-1768035.0
53.71123733,2.154405951,-1773513.2
53.651150116,2.233948261,-1768503.9
53.53593798,2.097235382,-1765891.9
53.701274198,2.123975035,-1773737.4
53.702845106,2.229973331,-1771255.4
53.557976198,2.147112419,-1765817.8
53.63521466,2.115101292,-1770559.0
53.53482245,2.154058357,-1764460.5
53.659546195,2.220221174,-1769266.9
53.679072738,2.22816957,-1770078.1
53.716981733,2.166569837,-1773514.2
53.633753067,2.179651567,-1768923.2
53.581445992,2.117405177,-1767741.8
53.627884027,2.143357241,-1769499.0
53.629623008,2.124455369,-1770045.4
53.628788678,2.167743171,-1768955.9
53.611534375,2.208145423,-1767092.8
53.664397494,2.197703938,-1770060.5
53.709867562,2.114084264,-1774418.0
53.578493591,2.21041055,-1765341.8
53.545448483,2.241404202,-1762894.4
53.64925536,2.141142023,-1770650.5
53.557040065,2.247906271,-1763332.8
53.59520851,2.215091134,-1766086.1
53.578226108,2.198302197,-1765620.4
53.61731181,2.240264508,-1766613.2
53.648674871,2.099249376,-1771633.9
53.676796583,2.133016615,-1772261.5
53.642484951,2.165629219,-1769711.0
53.682672169,2.19372959,-1771095.6
53.621479841,2.184786469,-1768168.8
53.601604027,2.144836583,-1768113.8
53.640118077,2.115804464,-1770793.8
53.597797021,2.235195805,-1765733.2
53.605873148,2.204473745,-1766891.2
53.605692059,2.109865496,-1769169.4
53.607528668,2.155776805,-1768153.2
53.671847545,2.225205108,-1769778.6
53.53904382,2.103679888,-1765895.8
53.54428467,2.21274118,-1763528.2
53.676845363,2.105736049,-1772923.8
53.558806139,2.086725044,-1767321.0
53.536757985,2.087394705,-1766171.9
53.707821252,2.137054976,-1773757.1
53.635268047,2.219180486,-1768045.8
53.710804747,2.239066279,-1771444.0
53.676548391,2.245060401,-1769539.5
53.552749238,2.088182673,-1766974.1
53.706761047,2.198201579,-1772224.6
53.561714139,2.164660314,-1765585.6
53.556853929,2.164469933,-1765340.4
53.695339637,2.219773861,-1771116.4
53.559050832,2.082026063,-1767446.6
53.624287258,2.134380279,-1769531.5
53.56362348,2.087481643,-1767550.0
53.58994378,2.176563169,-1766747.8
53.679020896,2.144324185,-1772102.5
53.714963079,2.156008541,-1773665.9
53.666669617,2.084018993,-1772926.1
53.600069079,2.082791479,-1769535.2
53.635242358,2.230108232,-1767779.9
53.719421762,2.172742012,-1773490.5
53.569891834,2.188687967,-1765424.6
53.701047989,2.114803119,-1773947.8
53.543272858,2.085331576,-1766556.4
53.595414827,2.163863005,-1767335.6
53.600041781,2.11129529,-1768844.5
53.648568899,2.188504888,-1769469.8
53.569655687,2.230025021,-1764412.8
53.601453134,2.201422935,-1766737.8
53.717760976,2.207564794,-1772563.4
53.671724939,2.175178325,-1770981.6
