Lat,Lon,Chi
54.6390455,0.3146667,-1920135.0
54.7575975,0.3136105,-1933127.2
54.6320596,0.3198946,-1917979.8
54.7263853,0.31135,-1930210.4
54.6534581,0.5460594,-1891249.2
54.7041301,0.4225941,-1899914.0
54.7091108,0.5350457,-1894876.4
54.6673923,0.5379203,-1891339.5
54.6147108,0.3156391,-1917060.8
54.7169441,0.4111224,-1904353.6
54.7113906,0.2981539,-1931016.6
54.7377669,0.3472953,-1923194.8
54.6035981,0.2987649,-1919408.5
54.6006895,0.4395167,-1883557.1
54.7472145,0.3593411,-1921191.1
54.5875336,0.5354582,-1883360.0
54.7069365,0.4184613,-1901304.1
54.6372055,0.2951598,-1923650.0
54.6575756,0.3243567,-1919791.9
54.6071518,0.4095193,-1892025.9
54.7255195,0.4616738,-1893640.4
54.6201481,0.3432582,-1910584.9
54.6482131,0.4614928,-1883899.0
54.7387522,0.3128777,-1931250.9
54.6235557,0.5448878,-1888223.4
54.6366846,0.3858039,-1901555.4
54.678022,0.5027473,-1887007.1
54.7040802,0.3530636,-1917801.0
54.6894026,0.4734366,-1886595.8
54.6567636,0.5225738,-1887995.0
54.6833013,0.3295816,-1921432.4
54.7281655,0.5399325,-1897434.2
54.7071719,0.5258738,-1893298.1
54.6289827,0.456705,-1882473.2
54.5885434,0.3538106,-1904201.5
54.6565194,0.5355522,-1889944.8
54.7530428,0.3656326,-1920248.6
54.7277401,0.527604,-1895520.0
54.7143856,0.4530489,-1894046.5
54.6741036,0.493106,-1885168.4
54.6787146,0.3612605,-1912748.2
54.7264656,0.3851444,-1912143.9
54.7231284,0.4255601,-1901356.1
54.6199417,0.3086247,-1919353.9
54.6605079,0.4061802,-1899076.6
54.6255994,0.4802214,-1878590.6
54.6301752,0.2899759,-1923845.4
54.74978,0.3021155,-1934388.4
54.6016246,0.4661125,-1877032.6
54.6743708,0.419208,-1897332.6
54.6331472,0.3147345,-1919432.9
54.6630769,0.345342,-1915030.6
54.5854185,0.410697,-1889201.0
54.7395654,0.3712789,-1917231.4
54.7331871,0.3907433,-1911482.6
54.6963657,0.2988407,-1929288.8
54.7059794,0.3226543,-1925846.6
54.62645,0.3469517,-1910366.0
54.6698048,0.4562383,-1887735.6
54.6147015,0.3198824,-1915967.5
54.6816735,0.4707012,-1886193.5
54.6258163,0.4757726,-1878060.8
54.6238471,0.3383895,-1912266.5
54.7328953,0.4795352,-1890814.1
54.6292232,0.4071523,-1895196.4
54.6000978,0.3494917,-1906653.8
54.6615486,0.4938099,-1884079.1
54.7221114,0.3862242,-1911360.2
54.6584568,0.5404798,-1890877.2
54.7170186,0.3942168,-1908712.2
54.6821947,0.5483706,-1894337.5
54.700019,0.397437,-1905911.2
54.591631,0.439811,-1882430.2
54.6567426,0.4236954,-1894132.2
54.5957443,0.4872461,-1876814.8
54.6424711,0.5392808,-1889173.6
54.7039272,0.4291327,-1898208.0
54.6855229,0.3351239,-1920263.9
54.6221111,0.5417611,-1887610.4
54.7358556,0.323323,-1929037.5
54.6009242,0.4309837,-1885780.2
54.6845865,0.4917472,-1885960.4
54.7378043,0.3430406,-1924293.8
54.6702454,0.29966,-1926353.8
54.582041,0.5035129,-1877981.6
54.742181,0.4073236,-1908259.2
54.6840123,0.3615681,-1913283.8
54.5917855,0.5341899,-1883572.0
54.7302058,0.4477762,-1897156.9
54.7155296,0.3826543,-1911515.4
54.6864873,0.4819175,-1884648.0
54.6888781,0.3200324,-1924536.6
54.7023875,0.4701601,-1888927.9
54.7217115,0.3254177,-1926961.0
54.6045159,0.3441717,-1908535.8
54.6635277,0.5472943,-1892396.5
54.7242403,0.5406343,-1897167.2
54.7363435,0.5107242,-1893773.9
54.6610421,0.3510706,-1913319.5
54.6533263,0.4704067,-1882669.2
54.7562558,0.3399567,-1927228.5
54.6182518,0.418184,-1891084.1
54.6850789,0.4092013,-1901150.2
54.6430061,0.4884116,-1881493.1
54.742857,0.3350819,-1926928.8
54.6228176,0.393807,-1897886.9
54.6868924,0.4331577,-1895195.9
54.7299077,0.2977111,-1933072.2
54.686081,0.2979488,-1928354.1
54.601507,0.2966961,-1919562.2
54.6569004,0.3079607,-1923416.8
54.5832759,0.3850023,-1895564.1
54.7026364,0.3584283,-1916253.4
54.7478393,0.3082057,-1933071.5
54.6432656,0.4188322,-1893819.9
54.6215281,0.3022702,-1920682.1
54.672182,0.4418169,-1891260.4
54.7022928,0.5123606,-1890779.5
54.5931458,0.3315364,-1910467.6
54.7441909,0.3636558,-1919729.9
54.6079262,0.3374919,-1910650.6
54.6315003,0.4526886,-1883742.5
54.6970989,0.4530453,-1891859.6
54.6422195,0.3375535,-1914614.2
54.5968064,0.2957039,-1919242.5
54.7173342,0.3454464,-1921299.5
54.6147523,0.2936321,-1921534.2
54.6209839,0.3741803,-1902724.8
54.6377713,0.4670299,-1881413.0
54.6502688,0.4179151,-1894868.0
54.612232,0.5172153,-1882939.2
54.6039518,0.5232854,-1883072.8
54.6271178,0.3014086,-1921434.6
54.679461,0.499671,-1886676.2
54.7525666,0.3743547,-1917949.4
54.7124946,0.5365922,-1895434.1
54.6403037,0.293428,-1924296.2
54.6950562,0.4124155,-1901481.2
54.6861953,0.2928662,-1929293.2
54.5946457,0.3598907,-1903345.6
54.5866172,0.3594729,-1902521.4
54.7293576,0.4170321,-1904273.5
54.5863934,0.3658678,-1900850.4
54.7085343,0.4467806,-1894624.9
54.7440213,0.4313153,-1902368.8
54.7005699,0.549647,-1896281.6
54.7505467,0.3842913,-1915157.9
54.6217143,0.4136026,-1892664.5
54.62571,0.3664923,-1905251.2
54.6055549,0.2937032,-1920540.2
54.6117453,0.5007987,-1880398.1
54.6248171,0.5460356,-1888518.4
54.6673024,0.3949193,-1902762.9
54.6307724,0.5334225,-1887168.4
54.6762221,0.3567723,-1913614.4
54.7244978,0.4370573,-1898690.5
54.7002355,0.4570685,-1891410.4
54.6478734,0.3028606,-1923384.0
54.648551,0.5033226,-1884287.9
54.7168768,0.4596437,-1892973.5
54.6677547,0.5166792,-1888145.6
54.7224243,0.367063,-1916327.4
54.6335012,0.3776371,-1903287.6
