Lat,Lon,Chi
54.4446211,0.5367355,-1869942.4
54.5247165,0.3208803,-1905268.8
54.5786735,0.308534,-1914707.6
54.4265742,0.5433293,-1869225.1
54.558727,0.5480089,-1882523.0
54.4824695,0.5302784,-1872566.0
54.5227214,0.4355442,-1875531.2
54.4759361,0.3879503,-1882350.0
54.4574491,0.4161896,-1872937.5
54.5977639,0.3617897,-1903218.4
54.5420094,0.2984386,-1912899.2
54.5612424,0.382277,-1893708.2
54.5018494,0.3753749,-1888593.1
54.4180953,0.4658212,-1858239.1
54.4153484,0.5410617,-1867811.8
54.4517043,0.5354921,-1870428.4
54.4621909,0.4294313,-1870080.5
54.5893301,0.3637162,-1901743.9
54.5025573,0.5257738,-1873794.6
54.4616605,0.4591976,-1862359.0
54.4679349,0.4106034,-1875592.0
54.5602749,0.4774133,-1871942.4
54.4962059,0.4738438,-1865684.5
54.5841268,0.544007,-1884334.1
54.4927868,0.526561,-1872984.2
54.5514252,0.3431972,-1902625.1
54.4605148,0.5333365,-1870939.6
54.5132732,0.5033052,-1871399.6
54.4909993,0.4818063,-1866012.0
54.4790746,0.4275919,-1872513.8
54.4317375,0.5419068,-1869501.0
54.5102512,0.3650016,-1892237.2
54.5641874,0.518662,-1878583.6
54.556176,0.3439028,-1902996.0
54.5038347,0.3404258,-1897816.8
54.5413302,0.4466718,-1874827.1
54.5916517,0.3914982,-1894864.8
54.5370491,0.297866,-1912475.0
54.4116557,0.4913585,-1859961.1
54.5728248,0.4892228,-1874931.9
54.4815674,0.4403993,-1869506.5
54.4676459,0.4192136,-1873343.0
54.369159,0.5401321,-1863271.2
54.4602441,0.413083,-1874061.1
54.551598,0.3872202,-1891317.2
54.5040127,0.350708,-1895191.0
54.4843374,0.4363339,-1870873.8
54.5026882,0.3642248,-1891559.4
54.5398299,0.4189228,-1881793.6
54.4772441,0.5483418,-1874813.5
54.5595829,0.383464,-1893210.1
54.5194713,0.4106723,-1881554.2
54.5387349,0.3253556,-1905744.8
54.534414,0.5405261,-1879070.6
54.4633146,0.5459788,-1873127.5
54.4161408,0.5320163,-1866512.6
54.5131444,0.5306455,-1875542.8
54.5636821,0.388932,-1892279.5
54.50866,0.4136659,-1879529.4
54.5854397,0.5073897,-1878894.6
54.5280508,0.4631265,-1869052.1
54.5431175,0.4396354,-1876845.2
54.4889753,0.5316996,-1873402.1
54.5768475,0.4484906,-1878480.1
54.4600059,0.441492,-1866723.4
54.5007892,0.4914204,-1868405.9
54.5171134,0.5088712,-1872612.6
54.5721606,0.3195845,-1911107.9
54.5003559,0.4980358,-1869369.1
54.4911084,0.433571,-1872370.8
54.4750851,0.4954453,-1866569.2
54.5262653,0.4434676,-1873903.8
54.5329932,0.4343784,-1877023.1
54.4611741,0.4930089,-1864873.5
54.4808899,0.4137123,-1876294.6
54.4119979,0.5078247,-1862441.4
54.4854405,0.3810006,-1885240.4
54.5151845,0.4663074,-1866741.0
