Lat,Lon,Chi
54.2978056,0.4585417,-1847227.0
54.2346917,0.3088028,-1874722.2
54.3566194,0.4107056,-1862648.2
54.3264667,0.3741139,-1868565.5
54.3707056,0.4992389,-1857203.9
54.3369611,0.5202333,-1857180.5
54.2806167,0.4872833,-1848307.5
54.3793194,0.2934722,-1895449.8
54.2713722,0.4661333,-1845625.5
54.2273972,0.3585333,-1861078.4
54.3936806,0.4877528,-1858090.8
54.1318889,0.3412472,-1854443.8
54.3537861,0.5452556,-1862586.1
54.3157944,0.522075,-1855444.4
54.3511722,0.4857028,-1854245.2
54.4747694,0.3145861,-1901092.4
54.3722528,0.2972861,-1893648.1
54.1933861,0.3681083,-1854668.5
54.4354833,0.3474139,-1888086.0
54.4102028,0.343475,-1886166.6
54.4178639,0.4070778,-1870688.6
54.4739528,0.3879111,-1882129.4
54.2626889,0.4411389,-1843917.0
54.2550917,0.3701944,-1861291.6
54.30355,0.431675,-1851094.1
54.3315556,0.4568028,-1849979.8
54.4296222,0.4224806,-1868089.4
54.3327778,0.5347444,-1858987.2
54.1758194,0.39675,-1845258.6
54.4290528,0.4070361,-1871997.9
54.4482222,0.3820583,-1880650.2
54.3539194,0.4338306,-1856384.2
54.2529389,0.4008222,-1853160.2
54.2232778,0.3432861,-1864524.0
54.228425,0.4525444,-1840714.8
54.325125,0.3588806,-1872329.6
54.2849,0.4451528,-1845461.4
54.4246083,0.4609306,-1858364.9
54.4886222,0.3244972,-1900149.6
54.1957139,0.3183222,-1867749.2
54.2143222,0.44285,-1838635.9
54.3356083,0.3530028,-1875058.4
54.4360417,0.4417806,-1863867.6
54.4369694,0.4495056,-1861987.8
54.2211389,0.448775,-1839750.5
54.4446806,0.4379778,-1865849.0
54.3471583,0.5664778,-1865179.5
54.3749139,0.4454361,-1855833.5
54.362975,0.4742083,-1854238.0
54.4096083,0.4879028,-1859476.0
54.4092528,0.4089194,-1869216.1
54.3521667,0.491425,-1854841.2
54.2629194,0.3452278,-1868624.4
54.357475,0.5376889,-1861787.8
54.50675,0.3320694,-1900305.2
54.3744667,0.5454333,-1864582.5
54.2333222,0.385425,-1854846.0
54.3656583,0.4088,-1864187.8
54.410025,0.4782667,-1858653.5
54.3282778,0.3395611,-1877667.6
54.3071806,0.4067472,-1857930.0
54.3823056,0.5185222,-1861239.4
54.3147333,0.5604722,-1861179.0
54.2696083,0.4891306,-1847523.8
54.3159972,0.5392889,-1858080.0
54.4569278,0.3320083,-1894538.8
54.217925,0.3604278,-1859492.0
54.3214806,0.4451833,-1849698.6
54.261425,0.4411472,-1843768.2
54.3179056,0.5604667,-1861479.9
54.3687278,0.3069333,-1890757.0
54.3425389,0.4856278,-1853495.8
54.3839306,0.3530944,-1880642.4
54.3081278,0.4836583,-1850354.5
54.3438167,0.4107222,-1861157.9
54.3799778,0.4204056,-1862862.4
54.42405,0.3897194,-1875873.0
54.3796639,0.4472917,-1855907.8
54.4289889,0.4224306,-1868028.9
54.2965472,0.4835111,-1849344.5
54.3464389,0.5893861,-1868593.5
54.4800194,0.2992194,-1905656.5
54.3272139,0.3299667,-1880012.4
54.3430278,0.5452083,-1861554.6
54.3820083,0.481975,-1856570.0
54.3978667,0.3166222,-1891645.6
54.4290944,0.4610028,-1858757.4
54.241325,0.4104028,-1849347.2
54.15925,0.3258917,-1861570.2
54.4564778,0.2914667,-1904920.1
54.164225,0.3797,-1848301.6
54.4494583,0.4072,-1874323.8
54.192975,0.3986806,-1846753.6
54.3165778,0.45095,-1848167.9
54.4354306,0.3299667,-1892570.2
54.2684361,0.4987056,-1848276.1
54.3606528,0.3145417,-1887862.4
54.3327972,0.5241111,-1857373.2
54.1207306,0.3068056,-1862011.9
54.2687611,0.4756861,-1846252.8
54.3253,0.5528389,-1861025.0
54.1466833,0.3622222,-1850763.0
54.3330278,0.3375639,-1878731.6
54.3839361,0.5262,-1862561.8
54.3331778,0.3953639,-1863876.1
54.3904917,0.345425,-1883377.4
54.3783833,0.4896722,-1856944.1
54.2432083,0.3137139,-1874446.6
54.2944028,0.3837028,-1862376.6
54.2658639,0.3011194,-1880316.4
54.3421167,0.31075,-1886686.5
54.2011806,0.4237944,-1841242.6
54.454775,0.3704861,-1884388.0
54.4392389,0.38785,-1878117.0
54.2824083,0.305,-1881237.5
54.2144833,0.3413833,-1863993.5
54.5127083,0.3274833,-1902176.5
54.2380333,0.3950389,-1852919.1
54.2257083,0.3413083,-1865314.4
54.2874944,0.3548944,-1868988.5
