REFID,OLDREFID,LASTUPDATE,OPERATOR,SITENAME,TECHTYPE,STORTYPE,STCOLREFID,INSTCAP,CHPENAB,ROBAND,FITTARIFF,CFDCAP,TURBCAP,TURBNUM,TURBHT,MOUNTTYPE,DEVSTAT,DEVSTATSHT,ADDRESS,COUNTY,REGION,COUNTRY,POSTCODE,EASTING,NORTHING,PLANAUTH,PLANAPPREF,APPEALREF,SOSREF,SOSINTTYPE,JUDREV,OFFWINDRND,PLANAPPSUB,PLANAPPWD,PLANPREFU,APPEALLODG,APPEALWD,APPEALREFU,APPEALGR,PLANPGR,SOSINT,SOSREFU,SOSGR,PLANPEXP,UNDERCONST,OPDATE,LAT,LNG,OPFLAG,GEOSRC
2470,B0585,6/8/2020,Scottish Power Renewables,East Anglia 3 (EA 3),Wind Offshore,,,1400.0,,,,,14.00,100,282,,Planning Permission Granted,Awaiting Construction,"East Anglia Offshore Wind Three, Underground Cabling Between Bramford And Bawdsey, Lowestoft",Offshore,Offshore,England,NR32,685500,257000,The Planning Inspectorate - National Infrastructure,EN010056,,,,,3,18/11/2015,,,,,,,7/8/2017,,,,,,,52.137392,2.170968,N,REPD
2471,B0586,1/4/2022,Scottish Power Renewables,East Anglia 1 North (EA 4),Wind Offshore,,,800.0,,,,,11.90,67,282,,Planning Permission Granted,Awaiting Construction,36km offshore from Lowestoft,Offshore,Offshore,England,NR32,685500,257000,The Planning Inspectorate - National Infrastructure,EN010077,,,,,3,15/10/2019,,,,,,,31/3/2022,,,,,,,52.137392,2.170968,N,REPD
2472,B0850,18/3/2022,Orsted (formerly Dong Energy),Hornsea 3,Wind Offshore,,,2400.0,No,,,,10.00,231,,,Planning Permission Granted,Awaiting Construction,120km Offshore from Cromer,Offshore,Offshore,England,,626000,426000,The Planning Inspectorate - National Infrastructure,EN010080,,,,,3,14/5/2018,,,,,,,30/12/2020,,,,,,,53.681258,1.422626,N,REPD
2473,C1830,8/4/2022,Orsted (formerly Dong Energy),Hornsea 4,Wind Offshore,,,2600.0,,,,,14.40,180,,,Planning Application Submitted,Application Submitted,69km offshore from Flamborough,Offshore,Offshore,England,,626000,426000,The Planning Inspectorate - National Infrastructure,EN010098,,,,,3,29/9/2021,,,,,,,,,,,,,,53.681258,1.422626,N,REPD
2475,N00440W,5/12/2008,Celtpower,Cirrus Shell Flat Array,Wind Offshore,,,284.0,,,,,3.15,90,,,Planning Application Withdrawn,Application Withdrawn,7km Cleveleys ,Offshore,Offshore,England,,323355,443490,DECC (S36),,,,,,1,,5/12/2008,,,,,,,,,,,,,53.881928,-3.167442,N,REPD
2476,N00544W,24/3/2010,EDF,Cromer ,Wind Offshore,,,108.0,,,,,4.00,30,,,Abandoned,Abandoned,7km Cromer ,Offshore,Offshore,England,,630840,351080,DECC (S36),,,,,,1,,,,,,,,,,,,,,,53.006869,1.441154,N,REPD
2477,N00554W,27/1/2010,E.On  / Energie 2,Scarweather Sands ,Wind Offshore,,,108.0,,,,,3.00,30,,,Planning Application Withdrawn,Application Withdrawn,5.5km Sker Point (nr Porthcawl) ,Offshore,Offshore,Wales,,272400,171520,DECC (S36),,,,,,1,,27/1/2010,,,,,,,,,,,,,51.427809,-3.835627,N,REPD
2479,B0997,4/7/2018,Statoil,Hywind Scotland Pilot Park (Hywind 2) Demonstrator,Wind Offshore,,,30.0,,,,,6.00,5,,,Operational,Operational,"Buchan Deeps, 20km off Peterhead",Offshore,Offshore,Scotland,,433500,846500,Marine Scotland,,,,,,Demo,27/3/2015,,,,,,,30/10/2015,,,,,27/4/2017,27/10/2017,57.507681,-1.440847,Y,REPD
2484,A0250,15/2/2022,Vattenfall/Scottish Power Renewables,The East Anglia Array - Norfolk Vanguard,Wind Offshore,,,1800.0,No,,,,11.39,158,350,,Planning Permission Granted,Awaiting Construction,"North Sea, off the East Anglia coast",Offshore,Offshore,England,,708047,312194,The Planning Inspectorate - National Infrastructure,EN010079,,,,,3,11/7/2018,,18/2/2021,,,,,11/2/2022,,,11/2/2022,,,,52.619959,2.550073,N,REPD
2485,EN00028,31/5/2017,Talisman Energy,Beatrice Demonstrator,Wind Offshore,,,10.0,,,,,5.00,2,,,Operational,Operational,Beatrice Offshore Platform,Offshore,Offshore,Scotland,,347955,929690,Scottish Government (S36),,,,,,,23/1/2006,,,,,,,15/6/2006,,,,,1/9/2006,17/7/2007,58.253142,-2.886858,Y,REPD
