Lat Lon Depth
53.508832994 000.908810273 -18.500
53.615490220 000.982291144 -17.500
53.586243615 000.827796097 -32.000
53.702704025 000.837720132 -26.700
53.708305094 001.000396146 -26.200
53.577495945 000.735799561 -55.000
53.669914639 000.791750775 -53.000
53.602029173 001.069081643 -20.000
53.581826600 000.667442575 -22.000
53.745148949 001.083591070 -26.900
53.687491169 000.891173220 -24.400
53.782452591 001.077944750 -23.500
53.778635235 000.914961642 -31.000
53.657371406 000.932474350 -23.600
53.771580738 000.710821943 -29.100
53.539320359 000.988086180 -23.000
53.619548055 000.876436730 -21.200
53.571616381 001.074303884 -21.800
53.549706173 000.705456446 -80.000
53.565234737 000.976395373 -31.000
53.552539467 000.863566011 -19.400
53.531279760 000.662194405 -22.000
53.574421287 000.814301858 -59.000
53.587021089 000.798945147 -45.000
53.561188022 000.765945870 -52.000
53.582841330 000.964856132 -29.400
53.748986201 000.714874837 -28.200
53.784403950 000.839627711 -32.000
53.623937694 000.728764607 -29.700
53.778535657 001.026894376 -32.000
53.721531374 000.796472675 -42.000
53.548477004 000.689677874 -54.000
53.781202258 000.945352869 -27.400
53.771617664 000.808877571 -26.500
53.576837155 000.820106214 -54.000
53.572779976 000.784348992 -40.000
53.691436848 000.809688779 -27.500
53.749589208 000.680498670 -29.200
53.761908971 000.710924550 -28.100
53.581450544 000.754195319 -67.000
53.749612414 000.905859725 -29.700
53.595664425 000.825782760 -77.000
53.677688376 000.791165226 -53.000
53.734713343 001.024879885 -29.100
53.495413327 001.026952295 -35.000
53.782534032 000.972042045 -34.000
53.798954296 000.887057663 -31.000
53.636985852 000.736536317 -27.200
53.633626023 000.895201762 -19.100
53.519386647 001.045891086 -17.900
53.610543690 000.776935641 -31.000
53.652640595 000.940196156 -15.500
53.542600866 000.825735619 -19.500
53.548545328 000.884396936 -19.000
53.817908598 000.702962714 -35.000
53.806892049 000.892592253 -30.200
53.522872205 001.068994451 -15.700
53.665256706 000.666036564 -26.200
53.609691081 000.968518571 -21.400
53.790031346 000.998328601 -34.000
53.520049322 000.789895811 -23.400
53.619468458 000.742435830 -29.000
53.810349711 001.040498326 -38.000
53.531220080 000.721985118 -26.100
53.821386956 000.968011584 -32.000
53.655833860 000.787191284 -42.000
53.644008950 000.962803647 -21.600
53.613133151 000.996540772 -22.200
53.615186857 001.038395496 -17.200
53.582542079 001.051919984 -17.200
53.669744875 001.062550270 -21.400
53.745300778 001.073123765 -28.800
53.528406257 000.711266365 -69.000
53.643745425 000.995154575 -21.400
53.821591402 000.856433244 -34.000
53.674572932 000.660230931 -26.400
53.686400564 000.787200331 -45.000
53.517144864 000.845205992 -20.400
53.789889826 001.059785808 -26.400
53.505751503 000.668081389 -90.000
53.727139045 000.678991260 -25.800
53.607238482 000.806973566 -59.000
53.546334645 001.004347146 -12.100
53.576293307 000.806811512 -49.000
53.571905329 000.708670088 -29.000
53.802245047 001.003680698 -27.300
53.538155157 000.973137295 -20.000
53.658115315 001.077905612 -23.500
