Lat Lon Depth
54.432845388 000.925152256 -50.000
54.485748416 001.046343185 -53.000
54.460775452 000.917823899 -46.000
54.489800154 000.793255943 -54.000
54.426039761 001.022148851 -47.000
54.385042477 000.933437666 -46.000
54.431391648 000.861429921 -47.000
54.440184622 000.851370029 -43.000
54.451103452 000.849300552 -44.000
54.496777110 000.990667199 -57.000
54.479060575 000.960745051 -50.000
54.472964910 000.916163994 -51.000
54.496069603 000.787805385 -55.000
54.503435165 000.888303741 -55.000
54.428599643 001.028968732 -49.000
54.474986865 000.835625453 -51.000
54.409737823 000.877073209 -44.000
54.507491254 000.986522271 -54.000
54.407593444 000.982314736 -55.000
54.418507578 001.021189916 -41.000
54.418823142 001.001278483 -36.000
54.460384821 000.979567495 -49.000
54.433587498 000.895876725 -55.000
54.401924158 000.959145806 -50.000
54.471969854 000.937066681 -60.000
54.416106662 000.857828127 -46.000
54.496659783 000.858397746 -52.000
54.411170580 000.868695103 -44.000
54.451849217 000.933627571 -44.000
54.383849064 001.026690221 -54.000
54.422441715 000.959710398 -48.000
54.441821986 000.821557068 -50.000
54.474531235 001.026983084 -56.000
54.410439456 001.051795316 -40.000
54.450390672 000.841905661 -43.000
54.391942906 000.962509745 -61.000
54.436976951 001.032771598 -57.000
54.454773104 001.021736689 -46.000
54.439367690 000.935833278 -44.000
54.439113158 000.752945749 -51.000
54.408520460 001.028131294 -37.000
54.450292621 000.771904243 -51.000
54.487703844 000.777106507 -55.000
54.486705177 000.778747625 -54.000
54.403752758 000.692114672 -59.000
54.403111320 000.761584696 -47.000
54.408968169 000.842940656 -48.000
54.409691952 000.773293391 -41.000
54.433055232 000.963308607 -38.000
54.491555197 000.975096138 -44.000
54.408953765 000.772321638 -38.000
54.394714199 000.818681801 -37.000
54.467119684 000.815807820 -55.000
54.478077789 001.040087485 -55.000
54.480780909 000.946945162 -54.000
54.427891788 001.017340410 -47.000
54.472431447 000.820552741 -51.000
54.453562094 000.803891642 -51.000
54.503052340 001.037706035 -53.000
54.387986003 000.914989414 -39.000
54.449640038 000.807979356 -48.000
54.412311053 000.886277757 -46.000
54.450341597 000.903004202 -48.000
54.433968682 001.027577388 -54.000
54.452688355 000.832428449 -50.000
