Lat Lon Depth
53.992858824 000.777315581 -46.000
54.038319201 000.834548478 -50.000
54.068911408 000.879072208 -43.000
53.955746585 000.792919428 -41.000
54.010225612 000.991765119 -42.000
54.003501144 000.926659319 -46.000
53.996881926 000.854431817 -48.000
54.053819770 000.749180926 -45.000
54.042789597 000.931388320 -46.000
54.061041718 000.784626332 -52.000
54.069687732 000.875054353 -43.000
54.033592938 000.964000043 -44.000
54.045887698 000.835073359 -51.000
54.065924124 000.948209730 -42.000
53.959368884 000.918006603 -47.000
54.033016338 000.846839222 -50.000
54.009155208 000.822975276 -49.000
54.030413535 000.747520412 -46.000
53.951765100 000.763249657 -46.000
54.053833423 000.758547737 -48.000
53.985180469 000.917067342 -47.000
53.995364382 000.779083723 -47.000
53.968381645 000.998893500 -41.000
54.044317589 000.870819304 -49.000
54.063300654 000.960272390 -40.000
54.049338147 000.915040797 -46.000
53.961215679 000.811909231 -46.000
54.013717560 000.910801286 -47.000
54.004128392 000.989205185 -42.000
54.018872855 000.830420932 -47.000
54.053611413 000.937756125 -46.000
54.025899721 000.933758886 -45.000
54.008130014 000.932876901 -45.000
53.972523565 000.994118123 -42.000
53.961650934 000.750044989 -44.000
54.068851731 000.868984821 -44.000
54.024043649 000.756916003 -44.000
53.950721614 000.843763903 -45.000
53.960447208 000.887381783 -45.000
53.958285425 000.939472707 -46.000
54.067173471 000.933383385 -40.000
54.054213733 000.753357841 -45.000
54.031889940 000.786840132 -50.000
54.003488583 000.998883480 -41.000
54.020620537 000.998480207 -41.000
53.989270222 000.753889061 -44.000
53.955599828 000.792148485 -41.000
54.031094826 000.873889884 -50.000
54.069117289 000.866645173 -41.000
54.040551378 000.936307953 -46.000
54.018474910 000.830904558 -45.000
53.998380980 000.936709898 -46.000
53.991319881 000.831067305 -45.000
54.064777551 000.800978256 -53.000
54.037609470 000.982185534 -43.000
54.017489580 000.974715816 -43.000
54.063715334 000.824723092 -53.000
53.953443455 000.917563086 -46.000
54.053405017 000.804316340 -51.000
54.033339238 000.778536803 -49.000
53.973535939 000.791651141 -47.000
54.055596355 000.979760590 -43.000
54.068347127 000.831024434 -50.000
53.987536937 000.814583778 -47.000
53.983263485 000.901037517 -48.000
