Lat Lon Depth
53.802525400 001.182026300 -33.000
53.787433000 001.062504400 -29.500
53.765293800 001.189596500 -30.200
53.803057000 001.215734500 -31.000
53.827382400 001.266970600 -29.000
53.816273700 001.112401900 -36.000
53.782972300 001.136754000 -30.900
53.781492000 001.264752500 -29.500
53.811308900 001.117119800 -27.500
53.787983600 001.066243200 -29.500
53.810935900 001.267702300 -28.200
53.821079600 001.255608800 -29.200
53.832190100 001.070676300 -38.000
53.768611700 001.087420800 -28.900
53.807540100 001.242877100 -29.700
53.817863900 001.111407400 -36.000
53.773142500 001.259970700 -29.400
53.837820900 001.158403300 -33.000
53.780044500 001.083328600 -30.800
53.768601900 001.141404300 -29.900
53.760752700 001.244454800 -30.400
53.770052900 001.103759400 -33.000
53.788668300 001.235750600 -31.000
53.837017800 001.126733400 -35.000
53.780256600 001.193654200 -32.000
53.835057700 001.264089800 -30.200
53.796504300 001.123194500 -25.400
53.769157100 001.148020700 -29.500
53.813113800 001.120469700 -31.000
53.789785400 001.144837200 -31.000
53.818425400 001.224302100 -30.700
53.761425100 001.191134700 -30.000
53.829286400 001.210893300 -31.000
53.800244100 001.100107400 -32.000
53.797069700 001.265379400 -29.400
53.797241500 001.112767200 -22.400
53.821079800 001.076445700 -32.000
53.799361200 001.098502200 -25.800
53.767182200 001.084720700 -21.600
53.817241800 001.136763600 -35.000
53.796753500 001.117169300 -24.100
53.770098000 001.126478400 -23.500
53.796762100 001.069405500 -35.000
53.820721000 001.066363900 -29.200
53.798995100 001.134681300 -29.400
53.799320200 001.133678100 -23.000
53.820580300 001.262071500 -28.500
53.763686700 001.279774000 -28.400
53.781647500 001.065238900 -28.700
53.835455500 001.100619100 -37.000
53.823312100 001.098988200 -37.000
53.821258300 001.064358200 -38.000
53.769589600 001.088715200 -28.900
53.827935600 001.258446700 -29.700
53.760463400 001.097251400 -25.300
53.817690000 001.261784100 -28.700
53.808901100 001.156078300 -34.000
53.823893600 001.251783400 -29.500
53.799001200 001.273159300 -27.600
53.833668400 001.157846400 -33.000
53.771565300 001.267882300 -29.300
53.797748700 001.183998900 -34.000
53.786394300 001.249936400 -30.200
53.764919100 001.241987900 -29.300
53.796207100 001.119488600 -25.100
53.766417300 001.227337100 -31.000
53.789089800 001.138956300 -28.300
53.765239100 001.154533100 -29.500
53.764962600 001.080472300 -27.800
53.760215200 001.119926100 -31.000
53.814397600 001.122290000 -30.100
53.790892400 001.226098200 -30.800
53.762526300 001.165323400 -30.200
53.768094900 001.125904000 -28.000
53.762077400 001.095375500 -27.300
53.798537400 001.135158300 -31.000
53.829970400 001.093919200 -38.000
53.793891700 001.166264600 -32.000
53.816862000 001.072984900 -36.000
53.776420300 001.143925600 -30.000
53.814474100 001.249728400 -29.500
53.812394000 001.099661400 -35.000
53.824324300 001.207823700 -31.000
53.827200600 001.118681000 -36.000
53.777377700 001.168238000 -30.800
53.829543300 001.211689900 -31.000
53.816633300 001.229368300 -30.700
53.794889100 001.102253800 -30.400
53.795302600 001.108021500 -27.700
53.799310100 001.094997200 -33.000
53.791011600 001.280157000 -28.100
53.802278400 001.126940900 -34.000
53.773954500 001.249371100 -29.300
53.792634300 001.243208200 -30.300
53.779166000 001.068877200 -24.200
53.800659800 001.150020100 -33.000
53.772181500 001.133229100 -24.900
53.815302100 001.277127800 -26.800
53.782035000 001.138462800 -27.400
53.776326900 001.220941400 -29.700
53.829270300 001.233716900 -30.300
53.802851000 001.091645400 -32.000
53.830145100 001.134868900 -35.000
53.776565300 001.184790800 -32.000
53.831125500 001.281594900 -29.400
53.787605000 001.116784500 -27.300
53.785707100 001.159963300 -30.900
53.801879000 001.086272000 -32.000
53.767199200 001.105596400 -31.000
53.771686000 001.147559300 -29.500
53.807495400 001.204049400 -31.000
53.771004800 001.093808300 -28.300
53.786176600 001.103072300 -32.000
53.830927200 001.263699400 -30.000
53.804380500 001.087728300 -35.000
53.831345600 001.083024200 -39.000
53.765882000 001.193273100 -30.600
53.780323300 001.125174600 -30.500
53.812755200 001.189832400 -33.000
