Lat Lon Depth
53.561674900 002.430293800 -37.000
53.632642200 002.471717000 -22.800
53.621557600 002.249273500 -23.100
53.638036800 002.425766300 -25.400
53.538961400 002.482084300 -36.000
53.606230400 002.373561200 -26.800
53.595274400 002.449304600 -22.400
53.547191600 002.282134800 -17.000
53.585282700 002.295415800 -25.700
53.600461500 002.432838100 -22.600
53.646863500 002.313610400 -20.000
53.642900000 002.486613300 -20.000
53.584296800 002.536106700 -28.900
53.613383100 002.354629100 -28.200
53.617002300 002.275670600 -24.300
53.644966100 002.355296900 -21.600
53.638265000 002.505417300 -19.100
53.545070800 002.544396500 -26.500
53.639013000 002.441513300 -24.500
53.538227900 002.363871700 -19.700
53.546011600 002.394328800 -16.600
53.649786400 002.391927700 -27.200
53.571117800 002.434027500 -36.000
53.636080800 002.551592000 -25.700
53.628857800 002.518776300 -18.600
53.629629800 002.489225300 -22.500
53.619067600 002.483444000 -26.100
53.564617700 002.249906600 -14.000
53.552192900 002.441227300 -37.000
53.585706700 002.475037100 -23.800
53.652525000 002.401598600 -26.800
53.570215000 002.511431700 -25.100
53.627497600 002.330053200 -24.100
53.587451200 002.309956300 -25.600
53.584490600 002.275904300 -21.900
53.657717300 002.250094700 -26.100
53.556483400 002.249045700 -17.300
53.587727800 002.351492400 -33.000
53.568313100 002.349422800 -24.200
53.575655800 002.334237400 -25.800
53.610396500 002.467225400 -28.000
53.601424500 002.285510100 -25.400
53.555216500 002.398557500 -21.900
53.548855400 002.253960500 -22.200
53.535725600 002.424941700 -14.600
53.599722900 002.371475300 -33.000
53.578289400 002.446066600 -29.100
53.646836400 002.328580100 -19.000
53.547040800 002.426281500 -28.100
53.554397400 002.477359000 -34.000
53.648509400 002.470850400 -19.300
53.563902000 002.382737000 -26.200
53.562583200 002.512482200 -25.100
53.622365200 002.358030000 -25.500
53.584638400 002.520794500 -28.500
53.633214800 002.531397800 -20.000
53.566758100 002.499160200 -25.400
53.635733500 002.387236100 -20.300
53.563735800 002.508205200 -25.300
53.623520500 002.413086200 -21.700
53.638040700 002.376310800 -23.500
53.555961900 002.487365700 -30.100
53.641637000 002.290159700 -23.100
53.574674800 002.542054100 -29.000
53.580269600 002.421197800 -34.000
53.563113800 002.346814600 -21.000
53.649581600 002.444014500 -21.700
53.609545500 002.267719300 -24.100
53.614735000 002.316911600 -29.400
53.658586700 002.261046000 -24.400
53.664001700 002.277357300 -24.300
53.610905800 002.402514500 -24.700
53.558918400 002.376044400 -20.700
53.643388500 002.524143700 -23.500
53.642739700 002.502982300 -19.200
53.619842700 002.281311300 -24.100
53.606846000 002.365276400 -29.000
53.601111200 002.389418100 -27.700
