Lat Lon Depth
53.830527300 001.526712400 -28.800
53.779493600 001.585061800 -26.100
53.815841100 001.439796900 -29.400
53.788301700 001.610690900 -28.100
53.770638900 001.447724400 -27.400
53.728142000 001.464078800 -48.700
53.724175100 001.491653800 -49.100
53.764138900 001.376325400 -29.500
53.815700100 001.410121400 -29.800
53.797686100 001.433144700 -28.600
53.781111400 001.586596800 -26.100
53.828299400 001.523879900 -29.400
53.738321600 001.490415700 -30.200
53.768800500 001.558221400 -26.500
53.793955900 001.550920100 -26.800
53.729137500 001.555565000 -25.200
53.801806300 001.383789900 -28.600
53.726435600 001.385417000 -26.700
53.775446400 001.537892800 -27.900
53.821121000 001.474670300 -29.000
53.761496700 001.468769100 -30.500
53.832621500 001.558694100 -28.200
53.733807400 001.450697400 -33.900
53.726398000 001.469955600 -57.900
53.726486700 001.467202900 -53.000
53.722204800 001.514417300 -30.100
53.748193900 001.365805600 -35.600
53.762380400 001.370113300 -31.900
53.744461600 001.394483100 -46.200
53.726971600 001.499983900 -33.300
53.750700600 001.390116000 -45.100
53.755583800 001.452742100 -33.500
53.834818700 001.386666300 -31.700
53.723650700 001.492368500 -50.700
53.836974200 001.614882000 -33.100
53.722506900 001.491500300 -57.500
53.840576700 001.502041900 -31.400
53.820287600 001.386617800 -30.100
53.796444500 001.447883600 -28.000
53.766892900 001.583288600 -24.800
53.840770400 001.510178200 -30.100
53.822498400 001.531220300 -27.400
53.809009300 001.601881500 -28.200
53.799004900 001.426659700 -28.900
53.805239200 001.522399400 -27.300
53.779396300 001.571767200 -26.300
53.831493800 001.539989900 -28.700
53.789180500 001.460895000 -27.000
53.741124300 001.484352700 -31.000
53.797848300 001.585094700 -26.300
53.774749400 001.372213400 -26.400
53.734766400 001.615939800 -24.800
53.818317300 001.521111200 -26.400
53.794491500 001.426625500 -28.500
53.804228600 001.534423400 -27.000
53.726279700 001.398855000 -26.600
53.761725500 001.541139400 -28.200
53.805150600 001.472451800 -28.500
53.748862400 001.485145500 -29.600
53.773323300 001.535785900 -27.900
53.774570600 001.459205700 -27.100
53.834502300 001.419343300 -28.900
53.755649600 001.416904100 -28.200
53.783040900 001.608887300 -27.200
53.815059100 001.437590100 -29.000
53.834918500 001.585420800 -27.900
53.751911500 001.561830000 -26.100
53.835005900 001.375886900 -31.000
53.779652400 001.437319200 -27.200
53.732009100 001.393751700 -30.400
53.742273800 001.574091300 -26.100
53.771125300 001.407793900 -26.100
53.815670200 001.569535600 -26.400
53.782269600 001.513548600 -28.700
53.832227700 001.610337300 -28.100
53.731737400 001.594384800 -24.400
53.835225300 001.476736100 -26.400
53.755326400 001.498170300 -28.600
53.777770300 001.599035700 -26.400
53.821021000 001.421268900 -29.500
53.832740100 001.432228500 -28.900
53.775495700 001.477257800 -27.600
53.819851800 001.611855900 -27.200
53.788871900 001.573089400 -26.600
53.758987200 001.394729900 -27.600
53.738249500 001.578148500 -24.600
53.729050400 001.468733500 -45.800
53.753161400 001.428446700 -28.900
53.755721300 001.614160200 -25.500
53.762335900 001.579287800 -24.600
53.738900000 001.400329500 -42.900
53.812175400 001.483563700 -28.400
53.767052300 001.522446700 -28.200
53.725265900 001.473638200 -58.400
53.725203700 001.455906100 -49.100
53.740931800 001.543909700 -26.500
53.798025200 001.374371100 -27.400
53.745749300 001.443863600 -27.800
53.746451400 001.458501100 -36.000
53.761436400 001.594905000 -25.000
53.725739500 001.538520900 -25.600
53.734054600 001.476653900 -35.600
53.726646000 001.464804900 -54.900
53.784673100 001.383214500 -27.000
53.743405600 001.517052900 -28.900
53.729694600 001.422925500 -43.000
53.782794800 001.542733200 -27.000
53.727127500 001.556926800 -24.900
53.745470300 001.372794000 -35.400
53.730387700 001.554957800 -25.500
53.735128800 001.420637400 -50.800
53.735961500 001.428941200 -46.000
53.733409800 001.414385400 -44.500
53.748603800 001.415163500 -30.000
53.746389200 001.393106300 -48.400
53.735062200 001.465786000 -45.100
53.727753200 001.516882300 -28.100
53.765520400 001.587376200 -25.100
53.722838200 001.550847700 -24.600
53.734327700 001.383640300 -28.400
53.726326000 001.431901900 -42.000
53.742942600 001.417844200 -33.300
53.832800500 001.484668800 -24.700
53.748549200 001.614894300 -25.300
53.756684700 001.366712900 -38.500
53.734564700 001.472403600 -37.700
53.755897400 001.382204000 -36.800
53.731704100 001.486970100 -34.500
53.739271500 001.395156500 -39.000
53.731835500 001.607861600 -25.200
53.730980200 001.460475300 -38.800
53.831014200 001.510744900 -24.900
53.829641300 001.532673200 -24.800
53.726965300 001.498967300 -33.900
53.721794100 001.481084800 -66.500
53.725011700 001.425668600 -37.300
53.730905900 001.452142900 -50.500
53.758073200 001.453113400 -32.100
53.733340400 001.447868300 -42.200
53.733164400 001.457712500 -36.200
53.749282900 001.390639000 -46.900
53.790314700 001.590101600 -25.100
53.728494300 001.365989500 -23.400
53.753467600 001.462492300 -31.400
53.723703800 001.495784800 -41.100
53.732847100 001.427155600 -49.100
53.752315800 001.395951600 -33.300
53.836786200 001.610380100 -31.400
53.795469800 001.606203500 -24.500
53.734544400 001.365426800 -23.500
53.749122600 001.397878500 -45.200
53.732871600 001.395049700 -31.700
53.749582100 001.399433000 -38.800
53.725129300 001.492855100 -45.300
53.820887900 001.576120100 -25.100
53.722996900 001.495665400 -50.900
53.835274700 001.423161600 -32.400
53.834203400 001.387437500 -31.600
53.733310800 001.489545200 -31.100
53.785062000 001.463683900 -26.000
53.816588700 001.547090700 -27.600
53.809577500 001.407223200 -29.500
53.785942200 001.420856000 -27.300
53.745608100 001.599681600 -22.300
53.746143500 001.475346800 -30.200
53.767118600 001.374621800 -28.800
53.778527800 001.545911100 -27.300
53.820908000 001.516495300 -26.200
53.804278600 001.528760600 -27.400
53.784073500 001.616098200 -28.000
53.797647100 001.535585800 -27.200
53.832753100 001.491855900 -25.600
53.756166900 001.482913100 -29.100
53.777097000 001.413151800 -25.900
53.791452900 001.406724500 -28.600
53.807682600 001.447682400 -29.200
53.809276800 001.592073100 -27.100
53.828641800 001.411356000 -30.200
53.831302000 001.393679400 -30.600
53.800917800 001.580191600 -26.200
53.802841800 001.614646000 -28.900
53.819345800 001.578070900 -25.200
53.783948800 001.503195900 -29.300
53.792579000 001.518345100 -28.200
53.749314100 001.572337600 -25.300
53.750345300 001.535477300 -27.100
53.805777600 001.552588800 -27.300
53.819307500 001.557914000 -27.400
53.833622700 001.432498300 -28.800
53.795592100 001.446568000 -27.700
53.749053800 001.565381300 -26.100
53.829665400 001.463763900 -29.100
53.762425300 001.571175100 -25.500
53.787499400 001.484447800 -28.700
