Lat Lon Depth
53.694479700 001.505426700 -74.000
53.715076500 001.409087400 -27.100
53.661027800 001.539907700 -85.000
53.707534700 001.542138500 -25.900
53.688093800 001.530328200 -77.000
53.616335000 001.591861200 -20.800
53.664727300 001.458948200 -26.300
53.715558300 001.490487400 -70.000
53.680399900 001.536532800 -78.000
53.682537000 001.464771800 -25.700
53.640989300 001.588935800 -23.500
53.702221400 001.546381700 -25.200
53.692675600 001.499532600 -33.000
53.697314400 001.450490400 -26.600
53.682511700 001.559716800 -21.800
53.713982900 001.579042600 -21.900
53.634667500 001.584000600 -22.500
53.638818000 001.548077600 -76.000
53.716649700 001.418639400 -26.700
53.615385500 001.551868700 -55.000
53.668594600 001.524548700 -54.000
53.667937500 001.526219500 -65.000
53.694781900 001.418146400 -26.900
53.637589100 001.525706000 -26.200
53.659416300 001.484697600 -25.100
53.615590900 001.562338200 -79.000
53.703705800 001.517519100 -66.000
53.650813100 001.552734600 -86.000
53.718501100 001.476088700 -59.000
53.646718300 001.521139800 -26.200
53.641036100 001.558116900 -86.000
53.706210000 001.515523500 -53.000
53.666877900 001.525125900 -39.000
53.701803800 001.493987600 -53.000
53.658071300 001.556786300 -55.000
53.707276800 001.507079600 -79.000
53.622938800 001.572988300 -70.000
53.616205000 001.548570500 -40.000
53.678696400 001.543431300 -48.000
53.719660900 001.437578700 -36.000
53.717522700 001.492588400 -74.000
53.632097100 001.573188900 -49.000
53.637348600 001.492849900 -23.700
53.653550400 001.561152100 -51.000
53.696228000 001.497091900 -40.000
53.692438500 001.544601500 -25.500
53.681328000 001.468506300 -25.500
53.720743500 001.567816000 -24.100
53.678572300 001.576855000 -21.100
53.677297400 001.445162800 -26.900
53.705214300 001.446545400 -27.400
53.650211200 001.577132500 -22.900
53.711789500 001.424846100 -26.800
53.694634900 001.532334200 -29.500
53.712756700 001.522483600 -31.000
53.693421500 001.566004000 -23.600
53.708676300 001.468383400 -31.000
53.704109000 001.586771300 -22.200
53.684651600 001.480857900 -25.600
53.638438000 001.601639700 -24.600
53.636470800 001.507083200 -22.900
53.679655800 001.497939800 -26.700
53.681670300 001.611901100 -20.900
53.648736400 001.612390100 -23.100
53.669110800 001.525748600 -69.000
53.655575500 001.474168600 -25.400
53.685966800 001.524756900 -82.000
53.681991000 001.455822800 -26.300
53.711702700 001.442721800 -27.900
53.613847300 001.527535900 -21.600
53.638384600 001.558066000 -84.000
