Lat Lon Depth
53.722233083 002.100738528 -28.000
53.652505452 002.133907134 -28.500
53.579890711 002.179107415 -17.300
53.636363091 002.197074971 -24.600
53.549377204 002.085323674 -52.000
53.597586614 002.083428815 -33.000
53.708628927 002.101097653 -25.700
53.615026484 002.220970852 -23.500
53.561999864 002.213660714 -21.000
53.662668403 002.202085595 -27.600
53.669465114 002.134061518 -28.400
53.678783030 002.091153450 -28.200
53.701881837 002.173704793 -26.800
53.536185164 002.179367328 -23.900
53.601648485 002.115515810 -24.200
53.634808527 002.088135225 -26.600
53.555089847 002.109790905 -27.900
53.611526883 002.129799918 -23.000
53.546242227 002.092514668 -57.000
53.586053761 002.089165511 -31.000
53.623962187 002.195578783 -24.600
53.711237330 002.154405951 -25.700
53.651150116 002.233948261 -24.100
53.535937980 002.097235382 -51.000
53.701274198 002.123975035 -28.300
53.702845106 002.229973331 -27.800
53.557976198 002.147112419 -21.900
53.635214660 002.115101292 -26.000
53.534822450 002.154058357 -26.200
53.659546195 002.220221174 -26.600
53.679072738 002.228169570 -23.100
53.716981733 002.166569837 -25.000
53.633753067 002.179651567 -25.700
53.581445992 002.117405177 -24.300
53.627884027 002.143357241 -26.700
53.629623008 002.124455369 -25.900
53.628788678 002.167743171 -26.200
53.611534375 002.208145423 -24.500
53.664397494 002.197703938 -28.400
53.709867562 002.114084264 -27.600
53.578493591 002.210410550 -15.200
53.545448483 002.241404202 -22.200
53.649255360 002.141142023 -27.900
53.557040065 002.247906271 -17.700
53.595208510 002.215091134 -23.400
53.578226108 002.198302197 -16.800
53.617311810 002.240264508 -23.600
53.648674871 002.099249376 -28.200
53.676796583 002.133016615 -27.600
53.642484951 002.165629219 -26.900
53.682672169 002.193729590 -26.700
53.621479841 002.184786469 -25.500
53.601604027 002.144836583 -21.000
53.640118077 002.115804464 -28.200
53.597797021 002.235195805 -23.300
53.605873148 002.204473745 -24.200
53.605692059 002.109865496 -25.000
53.607528668 002.155776805 -21.500
53.671847545 002.225205108 -24.200
53.539043820 002.103679888 -29.300
53.544284670 002.212741180 -22.300
53.676845363 002.105736049 -29.100
53.558806139 002.086725044 -45.000
53.536757985 002.087394705 -36.000
53.707821252 002.137054976 -28.100
53.635268047 002.219180486 -24.800
53.710804747 002.239066279 -29.000
53.676548391 002.245060401 -22.100
53.552749238 002.088182673 -57.000
53.706761047 002.198201579 -27.500
53.561714139 002.164660314 -21.400
53.556853929 002.164469933 -22.200
53.695339637 002.219773861 -28.000
53.559050832 002.082026063 -61.000
53.624287258 002.134380279 -24.600
53.563623480 002.087481643 -32.000
53.589943780 002.176563169 -18.200
53.679020896 002.144324185 -27.900
53.714963079 002.156008541 -24.200
53.666669617 002.084018993 -27.400
53.600069079 002.082791479 -33.000
53.635242358 002.230108232 -24.400
53.719421762 002.172742012 -27.700
53.569891834 002.188687967 -20.400
53.701047989 002.114803119 -27.200
