Lat Lon Depth
54.725330400 000.303959400 -65.600
54.797205000 -000.068714900 -75.700
54.529981500 000.306464600 -66.800
54.735629900 000.287455800 -66.600
54.697899900 -000.192745400 -65.700
54.602625100 -000.133614400 -63.900
54.601138400 000.184050300 -76.300
54.768126400 -000.123018500 -72.600
54.631268700 -000.165784100 -71.400
54.700826900 -000.008469000 -74.400
54.788024000 -000.080926600 -69.200
54.674139200 000.292000400 -61.800
54.674472700 000.210213100 -69.400
54.639729100 -000.283656600 -59.600
54.688034900 -000.151898400 -67.300
54.676412200 000.086675700 -66.800
54.710737000 -000.446337300 -59.100
54.711322700 000.063691100 -62.700
54.590855300 -000.120005700 -61.700
54.734849500 -000.263390200 -62.800
54.608767100 000.301596100 -65.200
54.769971000 000.196387100 -69.600
54.740948200 000.124638500 -72.100
54.596864400 000.103612900 -65.700
54.638860700 -000.208196300 -64.900
54.662164100 -000.421136400 -55.900
54.596633500 000.222141100 -76.700
54.789966300 -000.128150600 -74.100
54.580486000 000.143081200 -68.600
54.590023500 -000.002999000 -63.900
54.699928100 -000.336891700 -63.500
54.683688600 000.180336600 -73.000
54.553760100 000.302130900 -62.000
54.788351500 -000.066461700 -72.400
54.638379900 000.106438100 -81.400
54.665927000 000.063838500 -85.300
54.595448200 -000.042331800 -59.800
54.650486400 000.320898000 -61.200
54.655424300 000.053492300 -72.900
54.791039100 000.068668400 -80.300
54.739310300 -000.334035600 -62.500
54.741784300 -000.111606600 -66.900
54.560179200 000.261595600 -74.500
54.627174900 000.133916200 -80.400
54.590086900 -000.074566700 -59.900
54.747362700 -000.290713300 -62.800
54.745919200 000.018899200 -62.400
54.573371800 000.251185800 -80.500
54.746403400 -000.319170800 -62.900
54.757467100 000.129389400 -62.800
54.585567600 -000.142550300 -65.200
54.636539100 -000.167778100 -71.600
54.717126300 000.305217600 -65.100
54.711630600 000.167056200 -63.400
54.794078000 -000.089211100 -69.800
54.696352800 -000.044474200 -65.900
54.603023600 -000.245581800 -59.200
54.756088300 000.047131700 -68.200
54.711605200 000.107858000 -70.700
54.670854300 000.298841300 -62.300
54.718976700 000.018584400 -79.000
54.725029500 -000.103518600 -62.900
54.669165700 000.116297800 -61.500
54.754059500 000.311994500 -69.300
54.677248100 -000.179160400 -64.700
54.708373100 -000.246717500 -64.800
54.684620900 000.300038500 -63.200
54.768210700 000.198779200 -69.300
54.640567500 -000.274974200 -62.300
54.685505400 000.195204400 -69.000
54.692354600 -000.500383400 -58.200
54.628852000 000.220597600 -66.000
54.664305300 -000.171428200 -61.500
54.593419500 -000.145799600 -66.300
54.615887400 -000.297948400 -56.000
54.647034800 000.260542300 -66.900
54.668824000 -000.246638600 -67.900
54.700183100 000.031929500 -72.100
54.755577800 -000.103318200 -72.800
54.759732500 000.022260200 -65.600
54.677911800 -000.445528200 -59.400
54.657908800 -000.268890900 -65.000
54.558611800 000.293278500 -64.700
54.620050400 000.121430000 -74.000
54.730068300 -000.058428600 -69.700
54.737546200 000.139187400 -65.900
54.708831400 -000.007114300 -78.300
54.632858500 000.052138000 -66.600
54.616663400 -000.150488600 -67.700
54.767148700 -000.072152200 -69.600
54.706445300 -000.273963900 -62.200
54.623002900 -000.080215300 -64.600
54.684842600 -000.003946000 -68.300
54.780987600 000.062463300 -68.200
54.623535400 000.208038500 -63.100
54.591114500 -000.206981000 -61.800
54.661683300 -000.128054400 -65.100
54.595595500 000.272707900 -64.800
