Lat Lon Depth
54.639045500 000.314666700 -59.900
54.757597500 000.313610500 -70.700
54.632059600 000.319894600 -61.100
54.726385300 000.311350000 -64.700
54.653458100 000.546059400 -68.000
54.704130100 000.422594100 -67.700
54.709110800 000.535045700 -74.100
54.667392300 000.537920300 -68.900
54.614710800 000.315639100 -68.100
54.716944100 000.411122400 -68.900
54.711390600 000.298153900 -64.500
54.737766900 000.347295300 -70.400
54.603598100 000.298764900 -67.100
54.600689500 000.439516700 -60.400
54.747214500 000.359341100 -71.600
54.587533600 000.535458200 -61.000
54.706936500 000.418461300 -67.700
54.637205500 000.295159800 -64.000
54.657575600 000.324356700 -61.900
54.607151800 000.409519300 -58.700
54.725519500 000.461673800 -75.900
54.620148100 000.343258200 -59.300
54.648213100 000.461492800 -63.300
54.738752200 000.312877700 -67.100
54.623555700 000.544887800 -65.500
54.636684600 000.385803900 -60.900
54.678022000 000.502747300 -69.700
54.704080200 000.353063600 -65.000
54.689402600 000.473436600 -69.200
54.656763600 000.522573800 -66.900
54.683301300 000.329581600 -62.300
54.728165500 000.539932500 -73.500
54.707171900 000.525873800 -74.400
54.628982700 000.456705000 -62.100
54.588543400 000.353810600 -65.900
54.656519400 000.535552200 -68.100
54.753042800 000.365632600 -73.600
54.727740100 000.527604000 -72.500
54.714385600 000.453048900 -73.900
54.674103600 000.493106000 -68.000
54.678714600 000.361260500 -62.500
54.726465600 000.385144400 -67.800
54.723128400 000.425560100 -72.600
54.619941700 000.308624700 -68.100
54.660507900 000.406180200 -63.100
54.625599400 000.480221400 -62.900
54.630175200 000.289975900 -68.600
54.749780000 000.302115500 -68.400
54.601624600 000.466112500 -61.100
54.674370800 000.419208000 -64.300
54.633147200 000.314734500 -61.800
54.663076900 000.345342000 -62.200
54.585418500 000.410697000 -59.400
54.739565400 000.371278900 -70.500
54.733187100 000.390743300 -71.100
54.696365700 000.298840700 -63.900
54.705979400 000.322654300 -63.900
54.626450000 000.346951700 -58.700
54.669804800 000.456238300 -66.100
54.614701500 000.319882400 -67.400
54.681673500 000.470701200 -67.000
54.625816300 000.475772600 -62.100
54.623847100 000.338389500 -58.800
54.732895300 000.479535200 -76.200
54.629223200 000.407152300 -62.700
54.600097800 000.349491700 -62.500
54.661548600 000.493809900 -66.700
54.722111400 000.386224200 -68.500
54.658456800 000.540479800 -68.000
54.717018600 000.394216800 -68.100
54.682194700 000.548370600 -71.600
54.700019000 000.397437000 -67.000
54.591631000 000.439811000 -59.800
54.656742600 000.423695400 -63.500
54.595744300 000.487246100 -61.600
54.642471100 000.539280800 -66.300
54.703927200 000.429132700 -67.000
54.685522900 000.335123900 -62.800
54.622111100 000.541761100 -64.900
54.735855600 000.323323000 -66.800
54.600924200 000.430983700 -60.300
54.684586500 000.491747200 -70.500
54.737804300 000.343040600 -70.200
54.670245400 000.299660000 -62.000
54.582041000 000.503512900 -59.900
54.742181000 000.407323600 -75.900
54.684012300 000.361568100 -62.900
54.591785500 000.534189900 -61.700
54.730205800 000.447776200 -76.000
54.715529600 000.382654300 -68.000
54.686487300 000.481917500 -69.600
54.688878100 000.320032400 -62.200
54.702387500 000.470160100 -72.900
54.721711500 000.325417700 -64.700
54.604515900 000.344171700 -61.800
54.663527700 000.547294300 -68.800
54.724240300 000.540634300 -73.600
54.736343500 000.510724200 -74.100
54.661042100 000.351070600 -62.300
54.653326300 000.470406700 -65.200
54.756255800 000.339956700 -72.300
54.618251800 000.418184000 -61.700
54.685078900 000.409201300 -65.100
54.643006100 000.488411600 -64.700
54.742857000 000.335081900 -70.500
54.622817600 000.393807000 -59.300
54.686892400 000.433157700 -67.200
54.729907700 000.297711100 -66.200
54.686081000 000.297948800 -64.000
54.601507000 000.296696100 -67.300
54.656900400 000.307960700 -59.100
54.583275900 000.385002300 -60.900
54.702636400 000.358428300 -65.200
54.747839300 000.308205700 -67.600
54.643265600 000.418832200 -62.500
54.621528100 000.302270200 -67.600
54.672182000 000.441816900 -65.500
54.702292800 000.512360600 -74.300
54.593145800 000.331536400 -66.300
54.744190900 000.363655800 -71.100
54.607926200 000.337491900 -63.300
54.631500300 000.452688600 -62.400
54.697098900 000.453045300 -67.800
54.642219500 000.337553500 -62.100
54.596806400 000.295703900 -65.100
54.717334200 000.345446400 -66.000
54.614752300 000.293632100 -64.200
54.620983900 000.374180300 -60.200
54.637771300 000.467029900 -62.800
54.650268800 000.417915100 -62.600
54.612232000 000.517215300 -62.800
54.603951800 000.523285400 -62.200
54.627117800 000.301408600 -66.500
54.679461000 000.499671000 -70.800
54.752566600 000.374354700 -74.600
54.712494600 000.536592200 -74.400
54.640303700 000.293428000 -63.200
54.695056200 000.412415500 -66.700
54.686195300 000.292866200 -62.400
54.594645700 000.359890700 -62.200
54.586617200 000.359472900 -65.700
54.729357600 000.417032100 -73.600
54.586393400 000.365867800 -63.900
54.708534300 000.446780600 -70.800
54.744021300 000.431315300 -77.600
54.700569900 000.549647000 -73.000
54.750546700 000.384291300 -74.900
54.621714300 000.413602600 -61.600
54.625710000 000.366492300 -59.900
54.605554900 000.293703200 -68.100
54.611745300 000.500798700 -62.200
54.624817100 000.546035600 -65.500
54.667302400 000.394919300 -63.300
54.630772400 000.533422500 -65.100
