Lat Lon Depth
54.297805600 000.458541700 -59.000
54.234691700 000.308802800 -55.900
54.356619400 000.410705600 -57.900
54.326466700 000.374113900 -67.500
54.370705600 000.499238900 -63.000
54.336961100 000.520233300 -59.200
54.280616700 000.487283300 -60.300
54.379319400 000.293472200 -65.000
54.271372200 000.466133300 -62.700
54.227397200 000.358533300 -56.600
54.393680600 000.487752800 -65.600
54.131888900 000.341247200 -53.400
54.353786100 000.545255600 -63.400
54.315794400 000.522075000 -59.500
54.351172200 000.485702800 -59.300
54.474769400 000.314586100 -66.300
54.372252800 000.297286100 -65.500
54.193386100 000.368108300 -55.900
54.435483300 000.347413900 -61.800
54.410202800 000.343475000 -59.300
54.417863900 000.407077800 -59.200
54.473952800 000.387911100 -64.200
54.262688900 000.441138900 -58.800
54.255091700 000.370194400 -56.100
54.303550000 000.431675000 -62.400
54.331555600 000.456802800 -55.300
54.429622200 000.422480600 -72.400
54.332777800 000.534744400 -59.800
54.175819400 000.396750000 -54.800
54.429052800 000.407036100 -66.500
54.448222200 000.382058300 -69.700
54.353919400 000.433830600 -55.100
54.252938900 000.400822200 -54.300
54.223277800 000.343286100 -51.300
54.228425000 000.452544400 -54.700
54.325125000 000.358880600 -63.600
54.284900000 000.445152800 -63.600
54.424608300 000.460930600 -69.200
54.488622200 000.324497200 -69.400
54.195713900 000.318322200 -55.600
54.214322200 000.442850000 -56.400
54.335608300 000.353002800 -71.800
54.436041700 000.441780600 -63.600
54.436969400 000.449505600 -59.200
54.221138900 000.448775000 -55.100
54.444680600 000.437977800 -59.600
54.347158300 000.566477800 -63.700
54.374913900 000.445436100 -56.900
54.362975000 000.474208300 -60.300
54.409608300 000.487902800 -67.000
54.409252800 000.408919400 -57.600
54.352166700 000.491425000 -56.800
54.262919400 000.345227800 -55.900
54.357475000 000.537688900 -64.000
54.506750000 000.332069400 -66.800
54.374466700 000.545433300 -65.700
54.233322200 000.385425000 -57.700
54.365658300 000.408800000 -60.400
54.410025000 000.478266700 -67.100
54.328277800 000.339561100 -64.100
54.307180600 000.406747200 -63.700
54.382305600 000.518522200 -64.800
54.314733300 000.560472200 -57.200
54.269608300 000.489130600 -59.600
54.315997200 000.539288900 -57.400
54.456927800 000.332008300 -66.700
54.217925000 000.360427800 -54.500
54.321480600 000.445183300 -59.700
54.261425000 000.441147200 -58.600
54.317905600 000.560466700 -60.100
54.368727800 000.306933300 -65.400
54.342538900 000.485627800 -59.300
54.383930600 000.353094400 -56.600
54.308127800 000.483658300 -58.000
54.343816700 000.410722200 -58.000
54.379977800 000.420405600 -59.200
54.424050000 000.389719400 -61.700
54.379663900 000.447291700 -59.200
54.428988900 000.422430600 -71.500
54.296547200 000.483511100 -58.900
54.346438900 000.589386100 -61.700
54.480019400 000.299219400 -67.600
54.327213900 000.329966700 -56.900
54.343027800 000.545208300 -61.700
54.382008300 000.481975000 -61.700
54.397866700 000.316622200 -61.300
54.429094400 000.461002800 -64.900
54.241325000 000.410402800 -56.300
54.159250000 000.325891700 -54.800
54.456477800 000.291466700 -63.600
54.164225000 000.379700000 -56.400
54.449458300 000.407200000 -64.000
54.192975000 000.398680600 -54.400
54.316577800 000.450950000 -57.900
54.435430600 000.329966700 -62.200
54.268436100 000.498705600 -58.000
54.360652800 000.314541700 -64.300
54.332797200 000.524111100 -58.500
54.120730600 000.306805600 -51.900
54.268761100 000.475686100 -59.500
54.325300000 000.552838900 -60.000
54.146683300 000.362222200 -53.900
54.333027800 000.337563900 -61.400
54.383936100 000.526200000 -65.600
54.333177800 000.395363900 -59.800
54.390491700 000.345425000 -60.100
54.378383300 000.489672200 -62.600
54.243208300 000.313713900 -56.700
54.294402800 000.383702800 -60.200
54.265863900 000.301119400 -54.200
54.342116700 000.310750000 -59.700
54.201180600 000.423794400 -56.500
54.454775000 000.370486100 -67.500
54.439238900 000.387850000 -68.800
54.282408300 000.305000000 -54.800
54.214483300 000.341383300 -52.200
54.512708300 000.327483300 -64.400
54.238033300 000.395038900 -58.800
54.225708300 000.341308300 -54.000
54.287494400 000.354894400 -55.500
54.275102800 000.418233300 -60.700
54.215297200 000.301013900 -55.100
54.307830600 000.341427800 -57.900
54.161016700 000.322094400 -54.700
54.215733300 000.373900000 -55.700
54.326447200 000.431772200 -57.400
54.481558300 000.355113900 -68.500
54.231475000 000.444833300 -55.200
54.451963900 000.420655600 -65.700
54.486572200 000.368675000 -64.500
54.304052800 000.372172200 -62.700
54.233777800 000.362447200 -53.900
54.325713900 000.293455600 -57.400
54.492694400 000.303061100 -70.100
54.346786100 000.385716700 -56.200
54.257880600 000.464091700 -62.300
54.322458300 000.372250000 -65.200
54.431772200 000.347383300 -59.500
54.245283300 000.419877800 -54.300
54.314122200 000.360638900 -64.000
54.421988900 000.457100000 -69.500
54.415736100 000.437822200 -64.000
54.289661100 000.368313900 -57.300
54.150691700 000.356572200 -51.600
54.338886100 000.383755600 -62.100
54.349347200 000.301097200 -58.300
54.369402800 000.326183300 -66.200
54.339608300 000.377933300 -67.700
54.494369400 000.330066700 -69.400
54.324416700 000.402944400 -65.300
54.184527800 000.362297200 -51.700
54.284705600 000.460327800 -62.700
54.218638900 000.327927800 -57.100
